ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-36.318515904799554,0.0059044301083823365,2960.4815350822173,0.0007928229338138098,12.317838703797996,0.19212350839102654,-0.03479615982392637,2376.126126126126,8.650749867099256,0.30765166418375306,33.28973518986966,-0.0009765625,0.021317215653153154,-0.9507583755630631
1004,-37.79277237852956,0.0,0.0,0.0,12.329495591954167,0.12523253012000352,-0.03495306057828041,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1005,-33.968523126563966,0.0,0.0,0.0,12.290933309439565,0.1759062462930811,-0.03423978072421144,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1008,-40.340265072517454,0.0,0.0,0.0,12.222480804268649,0.14834029191593012,-0.034558338278489684,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1009,-34.8534816187577,0.0,0.0,0.0,12.436337515962887,0.16581451923600646,-0.03541009909189518,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1010,-33.868000407943285,0.0,0.0,0.0,12.29111119855546,0.16350577912786096,-0.034281753018522244,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1012,-40.340265072517454,0.0,0.0,0.0,12.223633433183887,0.15481484780616778,-0.0346216716961926,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1014,-33.868000407943285,0.0,0.0,0.0,12.290961311066944,0.13454820247031496,-0.034257504386710484,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1015,-34.84510977335554,0.0,0.0,0.0,12.436425248510588,0.15185057659656814,-0.03528925720026658,0.0,0.0,0.0,0.0,0.0,0.015625,-0.9453125
1016,-40.254667676276384,0.0,0.0,0.0,12.224281725947938,0.13328183997512585,-0.034729312107664896,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1017,-34.49345499397432,0.0,0.0,0.0,12.290565421665072,0.11678218561794534,-0.03419494569922248,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1018,-34.84510977335554,0.0,0.0,0.0,12.436312378396012,0.13225339879766895,-0.03532437016444577,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1021,-37.2300798682055,0.0,0.0,0.0,12.257272378511423,0.13069846173564934,-0.03446212890344369,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1022,-34.894940893920676,0.0,0.0,0.0,12.436659115985705,0.1440878636491876,-0.03532437016444577,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1024,-40.434561411076935,0.0,0.0,0.0,12.224358736683635,0.12217629386438005,-0.034841151099716,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1025,-33.869873040525235,0.0,0.0,0.0,12.290665637807045,0.12399559930792553,-0.03420949477299562,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1026,-34.906134330109836,0.0,0.0,0.0,12.43632770412377,0.13272985423992298,-0.035384849755789864,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1028,-40.27483069952454,0.0,0.0,0.0,12.223340818914009,0.13839247626141207,-0.034672970754918604,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1029,-34.388003685317535,0.0,0.0,0.0,12.363426133116977,0.13029226509489078,-0.03477638118279478,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1032,-40.27483069952454,0.0,0.0,0.0,12.222729651700444,0.12107846267034722,-0.03458253870994423,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1033,-34.764281061366475,0.0,0.0,0.0,12.436504732098793,0.1247948843690653,-0.03539406404674013,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1035,-33.616407142585004,0.0,0.0,0.0,12.290330476831244,0.14293902133295008,-0.03412746349767772,0.0,0.0,0.0,0.0,0.0,0.015625,-0.947265625
1037,-37.16438263758212,0.05778894782361242,0.0,0.0,12.32478203418594,0.7903813569585614,-0.03503161246438855,0.0,0.0,0.0,0.0,-0.001953125,0.029296875,-0.9599609375
1039,-33.616407142585004,0.10853127620920054,0.0,0.0,12.282167002486307,1.3736150325608163,-0.0344609464592538,0.0,0.0,0.0,0.0,0.0,0.041015625,-0.974609375
1041,-36.95990473644787,0.1825889223823799,0.05175031981958722,0.0163897667247801,12.315597368910996,2.2252282543980417,-0.03541642685028923,0.5,0.0012133631913409373,7098.9513110120615,7.347460014571043,-0.017578125,0.05078125,-0.98828125
1042,-32.59308479679692,0.11971387111130805,607.2276018429923,0.0,12.280146392614665,1.4486177442083148,-0.03497654569681338,2402.0,8.796406788028204,3.7052725711998318,22.499437775842924,-0.005859375,0.0546875,-0.986328125
1046,-31.981874052183237,0.11513144940917865,916.5604279284872,0.011363495457259449,12.281054484779725,1.3402956149259726,-0.03497654569681338,3354.0,12.28461922367224,2.6034078443843613,23.861806079213103,-0.0234375,0.060546875,-1.005859375
1047,-39.266365421668226,0.13774483583310035,348.48133764198167,0.02501700010319328,12.210656766430173,1.6073842508471208,-0.035540436376903316,1505.0,5.601434138398593,7.010055719925712,24.42873594224538,-0.013671875,0.064453125,-0.98828125
1050,-32.255193128096884,0.12415913974971213,756.9211619155981,0.01872894569135357,12.353506806650095,1.4182788892556317,-0.035523311192417514,2814.5,10.424311461173666,3.6056197031756243,22.81314099710695,-0.017578125,0.0576171875,-0.9775390625
1052,-38.79754089995775,0.12591509361200176,898.2639045347347,0.028594229354934737,12.211674460025446,1.4441087123620673,-0.035491596537882295,3490.0,12.971907305389786,2.9908894649468767,26.86608048814985,-0.02734375,0.06640625,-0.9921875
1054,-31.559958759600963,0.12432307615460078,999.7032669153208,0.02584986158326981,12.42591973684426,1.4038185930973606,-0.03601098794271168,3722.0,14.034020336759006,2.24881808649918,22.481507877714897,-0.029296875,0.08203125,-0.982421875
1055,-30.265298974744624,0.12002806603845127,1092.5019803199189,0.019929895501970957,12.28066429600775,1.346612420246588,-0.035158499770037516,3996.0,14.711767358427966,2.057217072387056,22.475137255308045,-0.015625,0.064453125,-1.0
1056,-37.20196502010793,0.129022872626019,1036.7160061348063,0.032402198697999166,12.211702903217962,1.4623035844096035,-0.035357556863198865,4094.0,15.159935317857359,2.4539659464302974,25.44065775174039,-0.01171875,0.056640625,-0.98046875
1058,-31.559958759600963,0.13633239168795516,972.1073773304007,0.02982253369509047,12.424512334058585,1.5507468724132767,-0.03610615644900392,3987.0,15.074924750449927,2.093540052905341,20.3514573016596,-0.017578125,0.056640625,-0.978515625
1060,-36.32218097515745,0.13784453087399826,1073.1266115125827,0.03678772231445342,12.209613929623453,1.5562122732551191,-0.035357556863198865,4510.0,16.700128035925594,2.1749642216527065,23.34011985343271,-0.03125,0.0859375,-0.99609375
1061,-29.66807210275609,0.1316387230490727,1117.405328956314,0.026796739527187436,12.279383747796915,1.4795267757755444,-0.035221437194054704,4482.0,16.532311035851468,1.7945508065036284,20.05240634270005,-0.013671875,0.060546875,-0.986328125
1062,-30.567895783078733,0.145777270722008,1032.6509019344253,0.03405367164397634,12.423751126174233,1.6635325458964254,-0.03610615644900392,4543.0,17.178483839172145,1.7794292016257383,18.37529169987273,-0.021484375,0.02734375,-0.9765625
1064,-35.559448839759476,0.1464287142383618,1104.8594595219702,0.04117707622424526,12.209063496909614,1.651110828848826,-0.03545381639578216,4914.0,18.242454179727858,1.949268913569498,21.536681983093732,0.005859375,0.04296875,-0.990234375
