,Maximum,Minimum,Average
Thrust (gf),374.1839044216642,-0.6879870892236528,130.5036820511944
Current (A),13.096378278411628,0.13577977087322596,3.8520566005017955
Motor Efficiency (%),71.3271113413951,0.0,49.041694538790935
Burst Current Cutoff (A),11.512644935762081,0.14159862112056146,2.8579616836217214
Voltage (V),16.50800681246518,14.706412032715047,16.06920094023487
Electrical Power (W),209.6979279942045,2.1191107506434896,60.92798614804391
Torque (N·m),0.00010861619861384616,-0.03408912802369325,-0.013615251535398783
Motor Electrical Speed (RPM),36770.0,0.0,18647.972430914102
Mechanical Power (W),130.458524682676,0.0,39.764139858015085
Propeller Mech. Efficiency (gf/W),65891.62762928594,0.0,223.89164179542277
Overall Efficiency (gf/W),2.9640612994961804,0.0,1.9486000402087782
AccX (g),1.607421875,-2.66015625,-0.019760499716525815
AccY (g),4.390625,-1.87109375,0.08104829937476972
AccZ (g),-0.427734375,-1.6474609375,-0.9783002429881319
