ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-0.7730513822440911,0.19099646038014442,1.8300152694482634,0.18917941703224506,16.282050269702985,2.967506153241466,-0.00010380367239509374,1809.3454545454545,0.08518187936613422,4.769642057380882,0.16522824252545035,-0.0018022017045454545,0.022247869318181818,-0.9488458806818182
1003,1.516021781213269,0.1730127094245349,0.0,0.1740817481860604,16.209108036381853,2.67446783878734,-0.00030428924665987017,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1004,-2.386487308972667,0.1678115239344816,0.0,0.1736466932376866,16.31766601517095,2.5901022483726406,5.204097073154824e-05,0.0,0.0,0.0,0.0,0.0,0.0205078125,-0.9453125
1007,-0.8739248034986671,0.16617135317984666,0.0,0.17256796784753395,16.341733996511618,2.5641561174956946,-7.648251480325793e-05,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1010,-3.615839464397322,0.16893460511033442,0.0,0.17420204282384644,16.293804902977687,2.6045644158280377,7.968786648290035e-05,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1011,0.3132289092694484,0.17036215736451407,0.0,0.173166547416232,16.275542975444576,2.6397071110137906,-0.0001523544339322585,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1013,-3.615839464397322,0.17285133574337685,0.0,0.17429834555639595,16.293898978357188,2.6732174735048835,0.0001652791250603873,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1014,-0.7898444416995266,0.16838535215169886,0.0,0.17242101410218832,16.340802678450338,2.606733773116733,-0.00015292347600751797,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1017,-3.6436530289192337,0.16791273205680918,0.0,0.17391745843460135,16.294090664853616,2.6101657221047736,0.0001652791250603873,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1018,0.21499313573164353,0.16736548642795238,0.0,0.17275074672469357,16.27488240023144,2.577044173982797,-0.000273962704704519,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
