,Maximum,Minimum,Average
Thrust (gf),861.2118252881114,-3.6436530289192337,319.5657493227327
Current (A),19.24995382891447,0.16617135317984666,5.7808436324865085
Motor Efficiency (%),83.99180743995066,0.0,49.657667688511815
Burst Current Cutoff (A),17.17570690423036,0.17242101410218832,4.334606590665521
Voltage (V),16.341733996511618,15.48571335375841,16.0728762780798
Electrical Power (W),298.274018897703,2.5641561174956946,91.6319579131781
Torque (N·m),0.056037591349055435,-0.0015900998914138587,0.019610039456778833
Motor Electrical Speed (RPM),42630.0,0.0,21547.860092907686
Mechanical Power (W),250.18157238121637,0.0,66.4136974681008
Propeller Mech. Efficiency (gf/W),87.60732211652186,0.0,12.258546543596283
Overall Efficiency (gf/W),6.427714744564595,0.0,3.844198642501326
AccX (g),0.203125,-0.97265625,-0.020185242264210777
AccY (g),0.400390625,-0.310546875,0.06262101590579855
AccZ (g),-0.875,-1.14453125,-0.9836171899012962
