ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,131.40268707760433,0.19411761426637145,113.15239234561997,0.19016912995743884,16.06193031050285,2.9925504924331108,0.012683785739473237,2297.983695652174,4.840406526841479,2.88219245715274,2.5767637861637196,-0.0019637398097826085,0.023203974184782608,-0.9493885869565217
1003,2.9763170735531097,0.1700088031305767,0.0,0.17449090049653515,16.083289968639537,2.6251189800750674,-0.00018582522458423609,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1004,270.29884480491904,0.16800645685345383,0.0,0.18139134563200332,16.037550900700474,2.559275646100541,0.02691175455403145,0.0,0.0,0.0,0.0,0.0,0.0166015625,-0.943359375
1007,271.3320127897313,0.1650750184985193,0.0,0.18126296138039655,16.031279820258735,2.517779416105908,0.026930286679715375,0.0,0.0,0.0,0.0,0.0,0.015625,-0.9423828125
1008,0.10348108670634887,0.1720433066687898,0.0,0.17340162421666344,16.095329351490314,2.652336548406553,-0.00018132233147919762,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1010,3.080168990242806,0.16760454452888826,0.0,0.17397165006394855,16.08306154679099,2.59497101384389,-0.00028522743556617166,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1011,539.5838565892199,0.1654818619811196,0.0,0.187737844821352,15.979190749050012,2.511054609067421,0.05401674924434357,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1012,0.4090172535325045,0.17410730487134218,0.0,0.17350035592893476,16.094808898491575,2.6920504333384283,-0.00018132233147919762,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1014,271.4213638141208,0.16949408003311262,0.0,0.180582648444635,16.031249870207887,2.5940350341017813,0.026838230030747444,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1016,0.9879023041136152,0.17207709245659594,0.0,0.17337623830393176,16.094319768854408,2.6560190883767785,-0.00016815654726338064,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1018,271.4440532795676,0.1677397891738879,0.0,0.1800923666673638,16.031336521487695,2.5547845231055337,0.026838230030747444,0.0,0.0,0.0,0.0,0.0,0.015625,-0.9423828125
1021,1.3253530975166572,0.17422448893154407,0.0,0.17348753459383806,16.095668800955448,2.6983830484198865,-0.00016080216087033472,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1022,271.35283432934193,0.1692681170956777,0.0,0.17973687227253438,16.031867539295273,2.5879032026103115,0.02684769556669616,0.0,0.0,0.0,0.0,0.0,0.015625,-0.9423828125
1026,539.5838565892199,0.22450913557361876,0.0,0.18928069082243776,15.978715487988687,3.4402111668653483,0.05401674924434357,0.0,0.0,0.0,0.0,-0.015625,0.0546875,-0.986328125
