,Maximum,Minimum,Average
Thrust (gf),539.5838565892199,0.10348108670634887,372.91764623366873
Current (A),29.917125998245996,0.1645984772774163,8.263181312133261
Motor Efficiency (%),368.831080583235,0.0,73.6140237853374
Burst Current Cutoff (A),23.69639108927907,0.17337623830393176,5.9749344812422684
Voltage (V),16.095668800955448,14.894459201645924,15.750672248782823
Electrical Power (W),447.0832674500296,2.511054609067421,126.94494463850978
Torque (N·m),0.05401674924434357,-0.0017511593845225967,0.03661577188715614
Motor Electrical Speed (RPM),31422.0,0.0,15477.737693103998
Mechanical Power (W),177.74216696890167,0.0,75.39057237393044
Propeller Mech. Efficiency (gf/W),87.21960399568978,0.0,7.983624059243153
Overall Efficiency (gf/W),93.2931408841588,0.0,7.061934474266685
AccX (g),0.56640625,-0.634765625,-0.013995272871376814
AccY (g),0.728515625,-0.833984375,0.0565843081850215
AccZ (g),-0.701171875,-1.416015625,-0.9778227462075967
