ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-2.9842732914762,0.1505905833237905,0.9272335538324373,0.1489788705092311,16.40732754125789,2.346635723099167,8.505801250379956e-05,1998.390350877193,0.0250585684486692,7.677565848051031,0.28458077289670813,-0.002270079495614035,0.022769325657894735,-0.9483021518640351
1003,-10.06550702766694,0.1408419352843116,0.0,0.14326762126614814,16.400908580002028,2.223887796020505,0.00034470182854496093,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1004,0.4103924333655464,0.14021143440721606,0.0,0.14529632424691213,16.34217904139392,2.1211657267183144,9.690676691592845e-05,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1007,-2.8621235324738747,0.13968301048257617,0.0,0.14340712185169743,16.407372905693688,2.1640033679732196,4.0935967698754306e-05,0.0,0.0,0.0,0.0,0.0,0.018229166666666668,-0.9446614583333334
1011,0.9518023083663947,0.14490244822345105,0.0,0.14384946543258906,16.41069492747541,2.2309381960451753,-0.00014419902356438766,0.0,0.0,0.0,0.0,0.0009765625,0.0205078125,-0.9482421875
1012,-10.485421865383184,0.14302923208274654,0.0,0.1431230795915254,16.401542160359078,2.237754973416132,0.00035831874515953487,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1014,1.4710068282742073,0.14402791786272026,0.0,0.14516090973478366,16.341877929372473,2.1875872980194595,-4.177224559473014e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1016,0.6758238456301543,0.14105950562364866,0.0,0.1422831441431337,16.478786349931795,2.2138428535364287,-0.00016954033570704596,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1019,-4.573881004261462,0.13851380974867722,0.0,0.14369129867899255,16.37182182636655,2.129403763439764,8.354699300910161e-05,0.0,0.0,0.0,0.0,0.0,0.0166015625,-0.943359375
1022,0.38052639794013776,0.1410983767015546,0.0,0.1422131940435545,16.478800452496714,2.178359582818892,-8.391959092679001e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1023,-4.334332284813644,0.15276872471521535,0.0,0.1445028561481574,16.371237609934695,2.3554228421422447,0.00018374639376125655,0.0,0.0,0.0,0.0,0.0,0.0283203125,-0.9599609375
1026,-4.297275731530328,0.1514112243485674,0.0,0.14347445418751514,16.43961919591513,2.3558668067286983,0.00015600536591220323,0.0,0.0,0.0,0.0,-0.0078125,0.0390625,-0.962890625
1029,0.29478597932961426,0.1627563148037673,0.0,0.14347277727584026,16.477675325458186,2.5998457691604187,0.00010564583263157719,0.0,0.0,0.0,0.0,-0.005859375,0.041015625,-0.96484375
1030,-4.092359480718923,0.16155884138150137,0.0,0.14589951595822676,16.370868785227387,2.514688381769328,0.0002683696751889593,0.0,0.0,0.0,0.0,-0.001953125,0.029296875,-0.9580078125
1033,-3.899402568133694,0.16250235699541654,0.0,0.14502340361991925,16.438820942480774,2.5628416881625786,0.0004926881092064719,0.0,0.0,0.0,0.0,-0.0048828125,0.0517578125,-0.98046875
1034,0.6879856838304887,0.1613933944988978,0.0,0.1468768075393844,16.341223305090836,2.4890056901846185,0.00016291283975161512,0.0,0.0,0.0,0.0,-0.00390625,0.037109375,-0.970703125
1036,-4.026667009653847,0.1604215524495795,0.0,0.1454445872553606,16.438759051433507,2.5390083005043325,0.0004926881092064719,0.0,0.0,0.0,0.0,-0.00390625,0.0419921875,-0.9677734375
1037,1.4829408010914626,0.1637655125693509,0.0,0.14746778834696753,16.3412721550496,2.5272683880381117,-0.00013923244871312968,0.0,0.0,0.0,0.0,-0.001953125,0.0390625,-0.970703125
1039,-0.2554814962338693,0.16357542429836142,0.0,0.1453365935779621,16.477594145087714,2.5753453890351348,0.00022545423234248056,0.0,0.0,0.0,0.0,-0.001953125,0.048828125,-0.97265625
