,Maximum,Minimum,Average
Thrust (gf),647.2912686489797,-10.485421865383184,242.32204792150046
Current (A),19.58903132458511,0.13851380974867722,6.004953026757464
Motor Efficiency (%),101.23979408828943,0.0,69.7152948359255
Burst Current Cutoff (A),17.72404291038386,0.1422131940435545,4.468311265036822
Voltage (V),16.478800452496714,15.675625441545312,16.208983214848033
Electrical Power (W),307.09732018206347,2.1211657267183144,96.03474393199048
Torque (N·m),0.07798633604081626,-0.00016954033570704596,0.03108032333098243
Motor Electrical Speed (RPM),35017.90517241379,0.0,18575.953398156853
Mechanical Power (W),285.98961663428133,0.0,87.25803577624123
Propeller Mech. Efficiency (gf/W),13817.90389601907,0.0,29.425739075213666
Overall Efficiency (gf/W),4.179914866225247,0.0,2.6175282506094173
AccX (g),0.23828125,-0.34765625,-0.01627260532114939
AccY (g),0.2890625,-0.396484375,0.06023204591777805
AccZ (g),-0.8828125,-1.072265625,-0.98375231424799
