,Maximum,Minimum,Average
Thrust (gf),445.32451484539416,-1.0508033742252565,163.60412012142564
Current (A),14.19050519859897,0.17898057237251624,4.328709846990515
Motor Efficiency (%),101.14093375631464,0.0,60.342602655180855
Burst Current Cutoff (A),12.63200031891795,0.18179201483315552,3.231520281677639
Voltage (V),12.560733048722634,11.990853636525033,12.367501599856613
Electrical Power (W),170.0647547439739,2.1115574455933634,52.85175793224435
Torque (N·m),0.054089986250010505,-0.0003715083094998308,0.0194158118047033
Motor Electrical Speed (RPM),28580.92561983471,0.0,15080.287866576946
Mechanical Power (W),161.65101424812931,0.0,44.487526789233584
Propeller Mech. Efficiency (gf/W),74.60293598117535,0.0,6.255368496576782
Overall Efficiency (gf/W),4.39941927792463,0.0,3.012322954518596
AccX (g),0.07421875,-0.4375,-0.01723715884135216
AccY (g),0.19140625,-0.228515625,0.061189741995596264
AccZ (g),-0.931640625,-1.09765625,-0.9841754292739324
