ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,0.9085535268284592,0.14988289379384373,0.6237829347161141,0.14887914645662062,16.687954706745636,2.379170488339883,-2.2289987317814476e-05,1972.2772727272727,0.018209421024492835,6.487490742541601,0.08187168481139707,-0.0021040482954545457,0.022230113636363635,-0.9481356534090909
1003,1.104568219536802,0.1408525872593366,0.0,0.14237836746773716,16.69010729625108,2.2417568262940075,-4.4012568647476124e-05,0.0,0.0,0.0,0.0,0.0,0.018229166666666668,-0.943359375
1007,1.069262250238718,0.14017212516075084,0.0,0.14220239436468415,16.733013286357078,2.2444915877330778,-6.421027177747535e-05,0.0,0.0,0.0,0.0,0.0,0.0166015625,-0.9423828125
1008,0.7767943373919759,0.1339030605886848,0.0,0.1419321344304064,16.60323360562097,2.0971683765223976,5.0334171466768155e-05,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1011,1.0526291645159063,0.14468351337958138,0.0,0.14245153092122398,16.732721675805028,2.319516981851505,-2.022316177547321e-05,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1012,0.7767943373919759,0.13699622596117145,0.0,0.14187236174774948,16.60274354716283,2.143914438349728,8.605147643510065e-05,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1014,0.031102801499581518,0.14308874962845558,0.0,0.14243238286020515,16.687413703314707,2.278513691420613,7.653232965869159e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1015,2.110210369910641,0.14207869552045216,0.0,0.14233245563838165,16.778299102209214,2.3113165530191457,1.3171396808336355e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1016,1.8678995833365075,0.13618952945122842,0.0,0.1416117355516461,16.602537588127895,2.1282035995123803,7.209526445827076e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1018,1.0387366570223682,0.14054709617178346,0.0,0.1422440490050552,16.733026258264147,2.254329674360121,9.37213459849017e-05,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1020,2.092976627953117,0.1382374528686912,0.0,0.14154127548376108,16.602092203951592,2.162528928571781,9.069394205857299e-05,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1022,-0.04624729288860038,0.1439256026152197,0.0,0.14251821368666012,16.68836563930904,2.3095290118362253,6.363661424999914e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1023,2.5201853615407996,0.14576495945967696,0.0,0.14246421148995167,16.778335381006645,2.3671480693357125,-3.8339219530068765e-05,0.0,0.0,0.0,0.0,0.0,0.021484375,-0.947265625
1025,-0.05301750191308234,0.15147389925995067,0.0,0.14309456474596266,16.68766543756189,2.4282671218705465,0.00014029839903664077,0.0,0.0,0.0,0.0,0.0,0.0234375,-0.94921875
1026,2.0866193462433587,0.15314345578709,0.0,0.14261712664761392,16.60151126062076,2.4198967710244434,2.9630539642264785e-07,0.0,0.0,0.0,0.0,-0.001953125,0.0234375,-0.94921875
1027,2.606372955026665,0.1740030817035584,0.0,0.14473768936816794,16.777041995425165,2.815161511579233,-0.0008393201304237579,0.0,0.0,0.0,0.0,-0.009765625,0.06640625,-0.99609375
1029,-0.05301750191308234,0.17603527735226124,0.0,0.14539147229429775,16.687238055819897,2.82188761376302,-0.0007707880182868189,0.0,0.0,0.0,0.0,-0.009765625,0.05078125,-0.978515625
1031,1.970579239339461,0.16689920756261875,0.0,0.1441896768781736,16.602190605887188,2.6487139248106284,-0.0005766720044499459,0.0,0.0,0.0,0.0,-0.015625,0.0546875,-0.986328125
1032,2.1065998474441705,0.16142361554029278,0.0,0.14505781892051495,16.777860747262167,2.605315016901625,-0.00019655343487197163,0.0,0.0,0.0,0.0,-0.015625,0.060546875,-0.984375
1034,-0.05829921822794354,0.17062879331236766,0.0,0.14606781105795882,16.687462924908452,2.7617629165168838,-0.00017029632627960984,0.0,0.0,0.0,0.0,-0.0078125,0.0546875,-0.982421875
1036,1.9782454627854895,0.15889812078394577,0.0,0.1449994763223726,16.69064686297989,2.559961872680285,-0.0001830014421470282,0.0,0.0,0.0,0.0,-0.0048828125,0.048828125,-0.9716796875
1038,-0.4118554788250858,0.16801135089598784,0.0,0.14682527035204707,16.68765664025794,2.663964667708192,-0.00023657969276150528,0.0,0.0,0.0,0.0,0.0,0.0390625,-0.9765625
1040,1.9530668083742966,0.16102253528462174,0.0,0.1456632484080611,16.690083056109614,2.570422958786462,-0.00037363049685395925,0.0,0.0,0.0,0.0,-0.001953125,0.0400390625,-0.970703125
1042,0.012003865721465482,0.16806113822099,0.0,0.14755281938082734,16.68712804171114,2.668670342260588,-0.00023657969276150528,0.0,0.0,0.0,0.0,-0.01171875,0.0546875,-0.978515625
