,Maximum,Minimum,Average
Thrust (gf),695.3481526723048,-0.4118554788250858,248.54455409239804
Current (A),21.74086505451029,0.1339030605886848,6.001483425152416
Motor Efficiency (%),90.58562350420887,0.0,64.53784504501488
Burst Current Cutoff (A),19.435841053150952,0.14154127548376108,4.381565960012013
Voltage (V),16.778335381006645,15.909261500905185,16.497757646059824
Electrical Power (W),346.04701711634897,2.0971683765223976,97.58376372883446
Torque (N·m),0.00014029839903664077,-0.07841167195727082,-0.02829766133310091
Motor Electrical Speed (RPM),34104.956896551725,0.0,18682.580848684982
Mechanical Power (W),279.8794084833097,0.0,80.57080504339196
Propeller Mech. Efficiency (gf/W),58.21452721660325,0.0,4.958191950722464
Overall Efficiency (gf/W),4.123636512161183,0.0,2.747771725687585
AccX (g),1.15234375,-0.7890625,-0.012976377226915274
AccY (g),1.3359375,-0.931640625,0.07014140748129516
AccZ (g),-0.068359375,-1.16796875,-0.8902342594251358
