ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,1.5304096328408354,0.18794489014245833,5.3536306162459795,0.18722838209949688,12.517195254678567,2.227989053909913,0.00044750305171373196,1998.054794520548,0.1363567220189173,0.5486004214901865,0.16106093001960714,-0.001614226598173516,0.021912457191780824,-0.9479345034246576
1003,0.017096223369845776,0.18485470793150552,0.0,0.1837670133413667,12.513021242841434,2.172733217995856,0.0004182373804144287,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1004,4.967709307958606,0.18831617276256946,0.0,0.18229039887380946,12.566684707995856,2.2387639043675094,0.0011222209576090872,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1007,-0.25998489828978083,0.18633048484692386,0.0,0.18391298121677668,12.512878544160824,2.204423909295873,0.00040371229507472206,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1009,1.8057087377873842,0.1833290923974315,0.0,0.18269052073507888,12.51924347558559,2.166261395992507,0.00045280325166656464,0.0,0.0,0.0,0.0,0.0,0.0185546875,-0.9453125
1012,-0.6425492592921487,0.1833660542179234,0.0,0.1837914510759006,12.51274267936553,2.195722036614936,0.00046440298079127685,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1013,4.853665525479109,0.1824797401623076,0.0,0.18217554044722525,12.567552042718015,2.2022147422949896,0.0011895047620660302,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1014,-1.412250197684557,0.1784486312312687,0.0,0.1828414790266876,12.471133288521953,2.1080175992240866,-0.0003754412057663166,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1017,1.6976582004768421,0.17893043077674725,0.0,0.18231697364371005,12.519664170280324,2.093971186780972,0.0004582520101677405,0.0,0.0,0.0,0.0,0.0,0.0166015625,-0.943359375
1019,-0.8115818298402511,0.1829764138494771,0.0,0.1837292418368729,12.512483772669684,2.2010227446379904,0.0004570272531522196,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1021,-1.478380130444123,0.17721092688697995,0.0,0.1824560103607992,12.471950443899386,2.05721921506962,-0.00037170574451169617,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.94140625
1024,1.9472253000463209,0.18445172178961833,0.0,0.18300570697388244,12.540043461197664,2.1911989442512545,0.0007744815093849691,0.0,0.0,0.0,0.0,0.0,0.0166015625,-0.943359375
1025,-1.478380130444123,0.17721064906053013,0.0,0.1822820266186688,12.471087246255063,2.0727432966578117,-0.0002901056072083785,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1028,0.7285617625296426,0.18440720495327775,0.0,0.18394216200970864,12.511695244815078,2.2160480735026393,0.0005245985822777474,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1029,1.6980615990645045,0.1957517888530014,0.0,0.18321817826627296,12.51942218290046,2.3220577439907766,0.00010792184752012236,0.0,0.0,0.0,0.0,-0.0048828125,0.037109375,-0.9619140625
1032,-1.1983661957714544,0.2069297589109632,0.0,0.18498144368616115,12.470975358617695,2.4323777593095097,-0.0008795997281073835,0.0,0.0,0.0,0.0,0.0,0.041015625,-0.974609375
1033,4.561930967829339,0.20722072267703995,0.0,0.18389940508689964,12.56641951802763,2.4677810758020717,0.0004957051921845175,0.0,0.0,0.0,0.0,-0.009765625,0.044921875,-0.970703125
1036,2.9291029454206177,0.2039845528667061,0.0,0.18500749828435314,12.539325308015254,2.445049569627006,0.00045062786521575136,0.0,0.0,0.0,0.0,-0.00390625,0.041015625,-0.974609375
1037,-0.27243518159492114,0.2016344892484236,0.0,0.18554389182940076,12.470019675115294,2.3707977722864895,-0.0007650836087008133,0.0,0.0,0.0,0.0,-0.0078125,0.056640625,-0.982421875
1040,5.018740443617296,0.206720025442274,0.0,0.1853667855572159,12.566583338168122,2.4599090164743997,0.0008386248559860092,0.0,0.0,0.0,0.0,0.0,0.046875,-0.978515625
1041,0.3680400533426839,0.20078104718606443,0.0,0.18609204897072726,12.49178551976285,2.3908830865434085,-0.00011573865560470919,0.0,0.0,0.0,0.0,-0.0009765625,0.044921875,-0.9814453125
1044,5.117962937194032,0.2066763441850004,0.0,0.1861540761305072,12.566685398808405,2.461310200388756,0.0008386248559860092,0.0,0.0,0.0,0.0,-0.00390625,0.04296875,-0.98046875
1045,1.4665276231491553,0.19759764936199967,0.0,0.18615326049863087,12.512526119808715,2.3843852598417605,0.00025507469592864755,0.0,0.0,0.0,0.0,-0.00390625,0.046875,-0.970703125
1046,-0.7760873119194883,0.2071150158242784,0.0,0.1873091796542351,12.470914517665992,2.443874044951455,-0.0008473676236895692,0.0,0.0,0.0,0.0,0.0,0.041015625,-0.98046875
1048,3.1391056132825854,0.20740104663751563,0.0,0.18706949860056132,12.53916357811287,2.4865535259337923,0.0005079972608903519,0.0,0.0,0.0,0.0,-0.00390625,0.0439453125,-0.9775390625
1049,-1.0878387474461455,0.213162152323534,0.0,0.1884114809471312,12.470931912598605,2.5130901343336993,-0.0008943355594594542,0.0,0.0,0.0,0.0,-0.00390625,0.041015625,-0.96875
1052,3.0520424883698403,0.20641758867843996,0.0,0.18770789517904368,12.539139171173163,2.4775235196027423,0.0004994109979045902,0.0,0.0,0.0,0.0,-0.0009765625,0.0361328125,-0.9755859375
1054,-1.1617925219439764,0.21194240383938084,0.0,0.1894523543268762,12.47073304314832,2.480883726239389,-0.0008917963409438819,0.0,0.0,0.0,0.0,-0.009765625,0.056640625,-0.974609375
1055,5.471258253207797,0.2061535241863503,0.0,0.188363900245432,12.565431116502971,2.4759965620949025,0.0007565560637630906,0.0,0.0,0.0,0.0,-0.02734375,0.0625,-0.97265625
1056,0.9404777706151924,0.2079957192644432,0.0,0.1885088281264759,12.512071314340718,2.4897915863194706,0.00014032442658436058,0.0,0.0,0.0,0.0,-0.013671875,0.0625,-0.974609375
1059,2.5271851097487814,0.21378376671520027,0.0,0.19011987861702115,12.518454291635384,2.5372736559444142,5.731770577565166e-06,0.0,0.0,0.0,0.0,-0.021484375,0.0634765625,-0.9765625
1061,1.2253486199335282,0.2089979047859178,0.0,0.18951357785721293,12.512316020073106,2.496398607761366,9.594664855610896e-05,0.0,0.0,0.0,0.0,-0.005859375,0.0625,-0.986328125
1063,6.2890608428996515,0.21575877168368174,0.0,0.1906440047404549,12.5667645465045,2.593055262776226,0.0006994608561367242,0.0,0.0,0.0,0.0,-0.00390625,0.0546875,-0.98828125
1064,-0.2910122466054964,0.2148012519320851,0.0,0.19180220204882265,12.47107834123482,2.5351763847413524,-0.0006043202462186627,0.0,0.0,0.0,0.0,-0.017578125,0.0546875,-0.98046875
1065,1.2713141007544462,0.21871276241697632,0.0,0.1909266455447048,12.512380209854054,2.628355649865368,-7.728237295554144e-06,0.0,0.0,0.0,0.0,-0.0078125,0.048828125,-0.978515625
1068,3.0648972323070107,0.21848656125453247,0.0,0.19242093795328535,12.51840026188162,2.601447047974154,-1.9107028933842605e-05,0.0,0.0,0.0,0.0,-0.0087890625,0.046875,-0.9765625
1069,1.5434006970697425,0.22120612176620608,0.0,0.19203031536855975,12.511820585064571,2.6350538275442834,-7.728237295554144e-06,0.0,0.0,0.0,0.0,-0.009765625,0.064453125,-0.982421875
1072,0.13885846504361432,0.22600956268201394,0.0,0.19438891409396866,12.470961265120547,2.6666957190535765,-0.0006776970117436746,0.0,0.0,0.0,0.0,-0.009765625,0.056640625,-0.98828125
1073,0.8182656598239687,0.22432554298746754,0.0,0.1933327683533446,12.512139714187064,2.6726520059009338,-0.0001728485987291059,0.0,0.0,0.0,0.0,-0.015625,0.0625,-0.978515625
1075,6.1290275827692895,0.21904368446471667,0.0,0.1935784928711541,12.565553531918647,2.6457423342110618,0.0007487605037135366,0.0,0.0,0.0,0.0,-0.01171875,0.064453125,-0.98828125
1076,0.6295544638115849,0.22983010553676492,0.0,0.19527944752901039,12.491338605590109,2.7310280645998732,-0.0004975971652343314,0.0,0.0,0.0,0.0,-0.0048828125,0.0615234375,-0.9892578125
1079,6.455771017120664,0.2277365874585663,0.0,0.19513973275359944,12.565150143136348,2.7576884981328504,0.0007487605037135366,0.0,0.0,0.0,0.0,-0.021484375,0.068359375,-0.986328125
1080,0.8949456700133398,0.2352407666726038,0.0,0.19683891017233043,12.491155764655495,2.7856879846832046,-0.0005877999185653827,0.0,0.0,0.0,0.0,-0.0087890625,0.0546875,-0.9833984375
1083,3.4926161361652177,0.23938210462617615,0.0,0.19798533599752804,12.517543852796235,2.865493352105827,-0.00011389293220573523,0.0,0.0,0.0,0.0,-0.0146484375,0.056640625,-0.98046875
1084,1.4557006759943112,0.2372852293976744,0.0,0.19776969609019926,12.510332194045398,2.845643238124448,-0.0002420962523135797,0.0,0.0,0.0,0.0,-0.009765625,0.0546875,-0.986328125
1087,3.751476949492305,0.24373318333390775,0.0,0.19966288650452776,12.517626877764751,2.91323504101777,-0.00012213772279900373,0.0,0.0,0.0,0.0,-0.0126953125,0.060546875,-0.9853515625
1088,1.9192040816726368,0.2382133586731165,0.0,0.19927635969216625,12.51048592924043,2.8612984191542505,-0.0003322391337019438,0.0,0.0,0.0,0.0,-0.00390625,0.05078125,-0.98046875
1090,8.479353090203045,0.2410291803830685,0.0,0.20001470408633215,12.565574576636386,2.8954934514580533,0.0007135933493350576,0.0,0.0,0.0,0.0,-0.017578125,0.0625,-0.982421875
1091,0.8923283955685408,0.24296622090030465,0.0,0.2020242668763326,12.469725449211545,2.8872940500531077,-0.0009963282872662118,0.0,0.0,0.0,0.0,-0.017578125,0.05859375,-0.984375
1092,2.149768121278291,0.2424950531088552,0.0,0.20103212220614985,12.510531949703376,2.9285517600918296,-0.0004587263921138671,0.0,0.0,0.0,0.0,-0.01953125,0.06640625,-0.98046875
1094,5.10022364886252,0.24687010611665,0.003142991556907859,0.20281472794238142,12.517596214757024,2.9487790923378663,-0.00022126187157041452,1.0,9.202835715118981e-05,0.0,0.2229950457265049,-0.0087890625,0.0830078125,-1.005859375
1096,2.149768121278291,0.2451837041326073,0.0,0.2029414468605144,12.510562531138305,2.9550881529813022,-0.0005005352651286316,0.0,0.0,0.0,0.0,-0.0078125,0.046875,-0.96875
1098,8.347948712507383,0.2469458275586175,0.0024141487649580297,0.2035830777497284,12.565218270819562,2.9808918372537256,0.00048729063961420966,1.0,7.196316347379555e-05,0.0,2.800486957687901,-0.001953125,0.044921875,-0.98046875
1099,2.12808252883216,0.2558467273196253,0.3204374091106115,0.20625920006887286,12.469605913793751,3.0426326421456764,-0.001082650717901222,86.0,0.00974973320724535,0.0,0.6994214481743769,-0.0078125,0.064453125,-0.982421875
1102,8.347948712507383,0.2528902967307169,0.8627785643303215,0.2056472992856105,12.564953120954574,3.0557383678756618,0.00027356697821328033,920.0,0.02636425562004844,0.0,2.7318924945498018,-0.03125,0.06640625,-0.9765625
