,Maximum,Minimum,Average
Thrust (gf),459.6111253279643,-1.478380130444123,150.28657629664
Current (A),14.289877716964982,0.17721064906053013,3.7903046218195815
Motor Efficiency (%),95.95860482066256,0.0,66.42589119702222
Burst Current Cutoff (A),12.572507155489,0.18217554044722525,2.7796607552226784
Voltage (V),12.567552042718015,12.001668643971035,12.39693217023747
Electrical Power (W),171.47385238004372,2.05721921506962,46.349351693566504
Torque (N·m),0.0011895047620660302,-0.05270978267394624,-0.018151494236882327
Motor Electrical Speed (RPM),28445.102564102563,0.0,14705.22261289044
Mechanical Power (W),157.00820785635247,0.0,41.148728108459466
Propeller Mech. Efficiency (gf/W),64.92933410469003,0.0,5.7245281496833105
Overall Efficiency (gf/W),4.683501610628579,0.0,3.158645711643578
AccX (g),0.34765625,-0.4453125,-0.014128942657797952
AccY (g),0.46484375,-0.2734375,0.07060301509435328
AccZ (g),-0.25390625,-1.21875,-0.9437151297884918
