ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-2.016995824983593,0.013167103279171876,16.000779493733805,0.01965379691068158,16.047454047659944,0.33627988626724653,-0.00026031447328323567,2033.0943396226414,0.09328870316847246,4.548514460704813,0.7892460432496101,-0.0017320165094339623,0.07646668632075472,-0.9942659198113207
1003,-1.6175467871501268,0.007985271885269742,0.0,0.015408032697421921,16.150218686184566,0.2564485097249072,-0.0005165927849598289,0.0,0.0,0.0,0.0,0.0,0.078125,-0.9951171875
1004,-0.04748846333045623,0.0,0.0,0.013135366586819316,15.84258999274677,0.17477404711986128,0.0002481196265387693,0.0,0.0,0.0,0.0,0.0,0.07421875,-0.9921875
1006,-2.5536826481613653,0.0,0.0,0.01513381317931445,16.282280985943096,0.2530996819662855,0.00013348181404299628,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1007,-0.48093135407619697,0.0,0.0,0.015479785096152287,16.017932628542376,0.2297685314826518,-0.0008418356538018586,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1008,0.2208828694436428,0.0,0.0,0.013164170262716492,15.843096470855693,0.16368141420273374,0.0002481196265387693,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1010,-1.6902155962973897,0.0,0.0,0.014877998471023625,16.281726042318112,0.20087243142668204,0.00013845222053287374,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1011,-0.11112469207263571,0.00792734792145736,0.0,0.014355702662669816,15.930265910801698,0.21859877943848754,-0.0003267068242004646,0.0,0.0,0.0,0.0,0.0,0.0791015625,-0.99609375
1013,-1.9005606389596132,0.0,0.0,0.014674470231597328,16.282335843726486,0.19524144362010304,0.00013845222053287374,0.0,0.0,0.0,0.0,0.0,0.080078125,-0.99609375
1014,-0.4940567964396889,0.016575838814423965,0.0,0.014523828745876025,15.93056714561363,0.24162667724359757,-0.00035457941709046855,0.0,0.0,0.0,0.0,0.0,0.078125,-0.994140625
1016,-1.9005606389596132,0.0,0.0,0.01432919499555365,16.282088167687988,0.15952924242253655,0.00022557655260555264,0.0,0.0,0.0,0.0,0.0,0.072265625,-0.990234375
1017,-0.8265994442641127,0.008818519894319955,0.0,0.014459332392218367,15.930515805118262,0.23134976756969847,-0.0003774033124663207,0.0,0.0,0.0,0.0,0.0,0.0791015625,-0.99609375
1020,-1.5027165109740384,0.005212944810519326,0.0,0.01441891071798178,16.047891463262534,0.21673774212587002,-0.00015541925748731357,0.0,0.0,0.0,0.0,0.0,0.07682291666666667,-0.994140625
1023,-2.1174003137854944,0.0,0.0,0.014212729542009169,16.281936234189875,0.1936678216117388,0.00014948737277723902,0.0,0.0,0.0,0.0,0.0,0.076171875,-0.994140625
1024,-1.617102384350071,0.015919400554611104,0.0,0.014570131631662587,15.930879271509635,0.226509895756821,-0.00038549535780588,0.0,0.0,0.0,0.0,0.0,0.0771484375,-0.994140625
1026,-2.1174003137854944,0.0,0.0,0.01424456727516259,16.282524301664196,0.2292446280843629,0.00016926518161409175,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1027,-1.9569088313296037,0.016828578116681682,0.0,0.015645693483150744,16.018442234857517,0.23758600176274305,-0.0010128112796043457,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1028,-1.5744767764668086,0.0,0.0,0.013563935391080029,15.843379216797574,0.2446645996026633,0.0002703781760900767,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1029,-3.4070939745433217,0.0,0.0,0.014217350151152762,16.282953966539043,0.23708954409118616,0.00017587985151635213,0.0,0.0,0.0,0.0,0.0,0.080078125,-0.99609375
1031,-1.8383341954477317,0.0,0.0,0.015501818784762488,16.017711557084514,0.25486632409959425,-0.00098469707249754,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1032,-1.648669552779466,0.0,0.0,0.013601328864438402,15.843158690949414,0.2272399173455074,0.000136875605216304,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1033,-2.6264752034542367,0.0,0.0,0.014263389227819109,16.282063890423352,0.25049794546033904,0.00017587985151635213,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1034,-1.93754819660106,0.0,0.0,0.015136739455245159,16.01868064847761,0.20124887182951665,-0.00098469707249754,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1035,-1.648669552779466,0.0,0.0,0.013650622562057284,15.8427801284596,0.21765377518542808,0.00015132536214105077,0.0,0.0,0.0,0.0,0.0,0.07421875,-0.990234375
1036,-2.6264752034542367,0.1128070467414155,0.0,0.02101972971096653,16.27805779333616,1.8243562640483852,0.00014654037135721483,0.0,0.0,0.0,0.0,-0.005859375,0.07421875,-0.99609375
1039,-1.5441672960954915,0.17633236964766477,0.0,0.02691157689314807,16.056551175594137,2.7728287084049867,-0.00041639690951047917,0.0,0.0,0.0,0.0,-0.0029296875,0.0556640625,-1.001953125
1040,-1.9640904803847343,0.1423640250272885,0.0,0.02415391526922913,16.013475781164118,2.242018883758253,-0.0011982728540217314,0.0,0.0,0.0,0.0,-0.0078125,0.0703125,-0.994140625
1042,-0.7415670802234555,0.24732256717884255,0.0,0.03212329737542292,15.83417665835098,3.8353901055470105,-0.0007603592038563107,0.0,0.0,0.0,0.0,-0.05859375,0.0390625,-1.0703125
1043,-1.2098895496237316,0.2392263934937726,8.42966601870073,0.03421750487956564,16.009395756790525,3.7167899198184537,-0.003313788782128148,903.0,0.3133129768574303,3.8616005048979463,0.32552002553935805,-0.044921875,0.072265625,-0.994140625
1044,-1.2511392600827098,0.2327203202629045,6.01066406923145,0.040475367873690014,16.273109751266325,3.6830156706320296,-0.000984119181162009,2148.0,0.22137369957884312,5.651706876033446,0.3397051144960255,-0.005859375,0.0625,-1.0
1045,-0.7415670802234555,0.21926787475364626,15.108505983937595,0.03641695245084527,15.834618283838825,3.3459622124404147,-0.0019038265012664792,2536.0,0.5055249010868509,1.4669249301649174,0.22163044085383896,-0.005859375,0.064453125,-0.98046875
1047,1.2665104636036357,0.2108942678419573,19.074998756869817,0.041618849964795396,16.142299187485722,3.3018283681135214,-0.003182579652575803,1925.0,0.626594885412249,3.8328049258632233,0.7542991480820187,-0.017578125,0.0654296875,-0.984375
1048,0.585807895469556,0.20052287978910144,17.284499189590978,0.04085077572643511,15.835847322703607,3.0572273380458443,-0.0019038265012664792,2651.0,0.5284264344684878,1.10858930828997,0.19161411000727208,-0.0078125,0.072265625,-0.990234375
1050,4.058287442091092,0.19930595643076288,28.8576793451496,0.04591069591676128,16.142789089369746,3.1164508877053363,-0.0031001102491763173,2786.0,0.8992739312961269,4.513002116206717,1.3031672705517734,-0.0126953125,0.0703125,-0.986328125
1051,4.278702656987195,0.19689772824678853,27.9966214833782,0.045274486760980906,15.836120392713553,2.996314351369837,-0.002478548077227501,3232.0,0.8388667874051519,5.100574633813328,1.4279885737059208,-0.01171875,0.0625,-0.994140625
1053,8.44394889519893,0.20034781680806796,32.56989529174794,0.05058589183562093,16.142504799448453,3.131862292591001,-0.003101993863587604,3175.0,1.0209168315729769,8.238199467197372,2.6898394315183554,-0.0146484375,0.05859375,-0.9833984375
