ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-0.003598900308029441,0.006499095527137485,0.0,0.00561730641695241,15.807582970357071,0.4121111514802208,0.0022192521467858917,0.0,0.0,0.0,0.0,-0.0011099726775956283,0.06597933743169399,-0.9918886612021858
1003,-0.003785703580221794,0.0,0.0,0.0,15.929867697577649,0.3303756562339716,0.0004236449996492707,0.0,0.0,0.0,0.0,-0.001953125,0.068359375,-0.9921875
1004,-0.003778716295639805,0.0,0.0,0.0,15.810304048171918,0.3469589309389991,0.0035360577910261773,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.990234375
1005,-0.0031408017648906,0.0,0.0,0.0,15.68779885397915,0.2326932801254072,0.0024762734536350178,0.0,0.0,0.0,0.0,0.0,0.06640625,-0.9921875
1007,-0.0034243132961154998,0.0,0.0,0.0,15.869900451734045,0.3382443302925939,0.0019852435482223285,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.9921875
1008,-0.0031408017648906,0.0,0.0,0.0,15.687984374082875,0.2669167045636115,0.002351549664062997,0.0,0.0,0.0,0.0,0.0,0.06640625,-0.990234375
1011,-0.003692678280155782,0.0,0.0,0.0,15.869921288296982,0.3289549635706859,0.0019852435482223285,0.0,0.0,0.0,0.0,-0.0009765625,0.06640625,-0.9921875
1012,-0.0029901085532781442,0.0,0.0,0.0,15.68859289149993,0.32980856920565205,0.002492088744165264,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.9921875
1015,-0.003392841957833548,0.0,0.0,0.0,15.80827304904092,0.3232744966274541,0.0021363434052968067,0.0,0.0,0.0,0.0,0.0,0.06575520833333333,-0.9908854166666666
1018,-0.0021140748790347227,0.0,0.0,0.0,15.929550545577392,0.324007399192027,0.00038762282076294633,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.9921875
1020,-0.0021248235718989684,0.0,0.0,0.0,15.687890891086614,0.25578492914689577,0.0024603593103653394,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.9921875
1022,-0.0017526167679851369,0.0,0.0,0.0,15.928158163512915,0.28550606010333346,0.00031256652972878613,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.9921875
1028,-0.0016564113720778856,0.0,0.0,0.0,15.929944186708164,0.33437923941086084,0.00036233976056246814,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.9921875
1030,-0.005232962572259014,0.0,0.0,0.0,15.809493234588953,0.2983766013643148,0.003419257476277701,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.9921875
1034,-0.0022949081515237077,0.0,0.0,0.0,15.688033296424177,0.26456982809634505,0.002669553605143574,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.9921875
1035,-0.005245848363411639,0.0,0.0,0.0,15.80977620946875,0.3264700117155344,0.003340157696381391,0.0,0.0,0.0,0.0,-0.001953125,0.06640625,-0.990234375
