,Maximum,Minimum,Average
Thrust (gf),0.7952944049109048,-0.005245848363411639,0.29899897247949886
Current (A),21.844515148499088,0.0,6.660021862216224
Motor Efficiency (%),91.39727506672241,0.0,67.84323438100213
Burst Current Cutoff (A),19.21251381089431,0.0,4.961630063698999
Voltage (V),15.930397904090393,14.930495908261658,15.550270918914997
Electrical Power (W),328.4928513080368,0.21785299974797914,102.05426491894426
Torque (N·m),0.08011967573545725,-1.061081927084707e-06,0.032829780383198434
Motor Electrical Speed (RPM),29600.0,0.0,17221.83111017603
Mechanical Power (W),248.34635282850232,0.0,76.20895102610856
Propeller Mech. Efficiency (gf/W),0.22181471449297613,0.0,0.004766808155455358
Overall Efficiency (gf/W),0.0047538619277836,0.0,0.0031014784729918245
AccX (g),0.62109375,-0.615234375,-0.02710301774820964
AccY (g),0.869140625,-0.6171875,0.06235784386320862
AccZ (g),-0.529296875,-1.578125,-0.9677179491953745
