,Maximum,Minimum,Average
Thrust (gf),952.9641076049703,-0.1354633496606954,368.7724196955746
Current (A),23.526854238987543,0.17746880841749765,6.98022035508227
Motor Efficiency (%),91.3269606148889,0.0,63.05842720220932
Burst Current Cutoff (A),21.15417302539816,0.18233662191112301,5.168386652111048
Voltage (V),16.630105459367485,15.660151471548625,16.323249416133386
Electrical Power (W),368.2615113400969,2.783813634578461,112.08328623535003
Torque (N·m),0.0001433994179128321,-0.08789236703987101,-0.0340267662483455
Motor Electrical Speed (RPM),34352.5,0.0,18262.193011667478
Mechanical Power (W),315.89883861961556,0.0,95.07615463700526
Propeller Mech. Efficiency (gf/W),74.81438974182771,0.0,8.782644431306997
Overall Efficiency (gf/W),8.016715732472834,0.0,3.887164732816398
AccX (g),0.521484375,-0.40625,-0.012425983704862796
AccY (g),0.931640625,-0.89453125,0.07472343652939825
AccZ (g),-0.30078125,-1.12890625,-0.9323616845046387
