,Maximum,Minimum,Average
Thrust (gf),754.3198598222833,-3.448712463211673,277.7888146511
Current (A),15.167742765428148,0.13638829332531505,4.525545240222007
Motor Efficiency (%),71.6797358534063,0.0,47.29896886268776
Burst Current Cutoff (A),13.250642759146068,0.1425629490370722,3.368253925572297
Voltage (V),16.743074185082623,15.34308220212194,16.02320757220707
Electrical Power (W),247.1551942740325,2.151035423317837,71.79953774262724
Torque (N·m),0.042234951301108034,-0.0009079254237476909,0.014645170445815193
Motor Electrical Speed (RPM),39821.0,0.0,20138.13525513265
Mechanical Power (W),176.1196276147422,0.0,44.47269781092709
Propeller Mech. Efficiency (gf/W),71.81539733855534,0.0,10.060447430913838
Overall Efficiency (gf/W),6.8917954465591915,0.0,4.324595342971821
AccX (g),0.126953125,-0.177734375,-0.018660127666582912
AccY (g),0.40625,-0.271484375,0.06481237792529758
AccZ (g),-0.8671875,-1.095703125,-0.9858174112942559
