ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-507.6987261008683,0.19559092677079057,2.7912675807113256,0.1957810495025583,16.597958985184903,3.117203803228288,0.000460457182952582,1734.713567839196,0.11364389417720605,82.74452459972163,25.629400655535584,-0.0012660961055276383,0.024016567211055277,-0.9489537531407035
1003,2.1572503958585925,0.18162152471945692,0.0,0.18551024099804914,16.4777401379701,2.866468699152844,-0.00021460732752959707,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.94140625
1005,-779.397170934202,0.1808558454694662,0.0,0.1849501915249219,16.652804840885874,2.8971968137526307,0.0008573369850040187,0.0,0.0,0.0,0.0,0.0,0.0166015625,-0.9423828125
1007,2.13140190592323,0.18438908953199415,0.0,0.18555150540592905,16.47684474043389,2.9028203558358867,-0.00021923185024120458,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.94140625
1010,-0.2917938365148571,0.17557829083294108,0.0,0.18350695307453616,16.716696286876875,2.833277451542183,-1.9458480717302515e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1013,2.121253711361268,0.1848888344548511,0.0,0.1855428511099524,16.476855910566325,2.933231472952444,-0.00019869620087018192,0.0,0.0,0.0,0.0,0.0,0.021484375,-0.947265625
1015,-0.2262825497040864,0.176877275719987,0.0,0.1832614425629356,16.7159585164448,2.8426696455613105,-8.774235905050718e-05,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1017,-1558.1736035999636,0.1817339422403726,0.0,0.1853836114421171,16.588461158050592,2.888759558361216,0.0015271821405973256,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1018,-0.01375643494821542,0.17499411166185752,0.0,0.18291394490076268,16.716256627106794,2.8292520332385145,-8.774235905050718e-05,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1021,-778.251040582286,0.18433243782800274,0.0,0.18541927525502744,16.53269546879487,2.919624692100525,0.000701350491885934,0.0,0.0,0.0,0.0,0.0,0.021484375,-0.947265625
1022,-0.0986768954267503,0.18102701609662625,0.0,0.18305178272631634,16.716485140356646,2.906891543969744,-5.5476095699172764e-05,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1025,1.3708726587116196,0.1836134921418448,0.0,0.1852898442451305,16.477475882084107,2.900193024737036,-5.2897392235829054e-05,0.0,0.0,0.0,0.0,0.0,0.0234375,-0.94921875
1026,0.05950372187726517,0.22155540130023293,0.0,0.1858819312203412,16.71542417819721,3.565332161579737,0.0005473320489442923,0.0,0.0,0.0,0.0,-0.0078125,0.046875,-0.984375
1027,-1557.7539286155127,0.1977176267756896,0.0,0.18649857722553764,16.588637088337098,3.1475126486801077,0.001563751109353051,0.0,0.0,0.0,0.0,-0.001953125,0.029296875,-0.94921875
