,Maximum,Minimum,Average
Thrust (gf),997.7494121154672,-1558.1736035999636,-222.9616156430335
Current (A),29.206370227031734,0.17499411166185752,8.721754593314207
Motor Efficiency (%),150.23032284173453,0.0,64.49401902363618
Burst Current Cutoff (A),26.401912001851375,0.18291394490076268,6.411138347414249
Voltage (V),16.716696286876875,15.447713576509681,16.305697547965668
Electrical Power (W),453.1262278344574,2.8292520332385145,139.37841610163446
Torque (N·m),0.09670221193600159,-0.14274844824804445,0.022201499240882598
Motor Electrical Speed (RPM),31397.0,0.0,17502.96812108179
Mechanical Power (W),404.7395430639009,0.0,111.12769208722713
Propeller Mech. Efficiency (gf/W),9831002.386467697,0.0,19052.2906328987
Overall Efficiency (gf/W),356.523603413473,0.0,14.816210639687718
AccX (g),0.283203125,-0.23046875,-0.013703417776337589
AccY (g),0.453125,-0.43359375,0.061369263646084186
AccZ (g),-0.3828125,-1.1328125,-0.969749667152499
