ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-2.1837423576385233,0.1567959923087573,0.46664808230857524,0.15839328582566706,16.67773133999232,2.5166437650476543,-0.00011892988915694867,1741.735294117647,0.018060335415779633,8.70145204068194,0.08497564029104897,-0.00146484375,0.021082261029411766,-0.9476390165441176
1004,-2.011587516607092,0.13843432438856454,0.0,0.1446720255255308,16.677987804671815,2.2291364461798833,-0.0001871402416140505,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1007,-1.979279224352265,0.1355687442926411,0.0,0.14427782027941904,16.677943629421538,2.1646057324209917,-0.0001871402416140505,0.0,0.0,0.0,0.0,0.0,0.015625,-0.943359375
1011,-2.035725688826993,0.14318956925124032,0.0,0.144517352473861,16.677947547348168,2.2838251804285203,-0.00025634668102158663,0.0,0.0,0.0,0.0,0.0,0.021484375,-0.947265625
1014,-2.035725688826993,0.14242177794385055,0.0,0.14442368320346408,16.67797050479119,2.2610134596337628,-0.00027323450655683795,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1018,-2.077986766710152,0.13769220260780396,0.0,0.1440249851753189,16.67798366513091,2.1927530120720964,-0.00027323450655683795,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1021,-2.0063453639482054,0.14277929695151076,0.0,0.1441708686206751,16.67772617313094,2.266483584542613,-0.0001792777477387445,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.943359375
1025,-2.0063453639482054,0.13972109944108302,0.0,0.14390735424257198,16.678342460328192,2.215076883679973,-3.1541114433755496e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1028,-1.949810426326723,0.17070516758401622,0.0,0.14589434398331058,16.67670203456244,2.732758188181584,0.00026018470637048777,0.0,0.0,0.0,0.0,-0.0078125,0.041015625,-0.978515625
1032,-1.5834768046168382,0.16669132116002666,0.0,0.14645740686510686,16.677053761869786,2.6822903244936924,0.00026018470637048777,0.0,0.0,0.0,0.0,-0.0078125,0.052734375,-0.978515625
1035,9.935355906227235,0.1672737451868984,0.0,0.1471478128758167,16.676753599260586,2.68948035620203,0.0005207954969462824,0.0,0.0,0.0,0.0,-0.0078125,0.048828125,-0.96484375
1039,9.935355906227235,0.16780584298007814,0.0,0.1478750045751714,16.676794813259686,2.7069835282339163,0.0007876971057031865,0.0,0.0,0.0,0.0,-0.00390625,0.046875,-0.966796875
1042,18.96847826759429,0.17133071083275714,0.0,0.14874347160612586,16.677544903213235,2.770270009227528,0.0007876971057031865,0.0,0.0,0.0,0.0,0.0,0.044921875,-0.970703125
1046,19.942153358075327,0.17827929837138146,0.0,0.15016580385979186,16.677288763284892,2.8349236185731126,2.794778788277747e-05,0.0,0.0,0.0,0.0,-0.001953125,0.056640625,-0.978515625
1051,20.407157302834595,0.18358151965679465,0.0,0.15177126955805695,16.677044502595976,2.925769483980297,-9.597982781579577e-05,0.0,0.0,0.0,0.0,-0.009765625,0.048828125,-0.9921875
1058,20.49113847637381,0.185741319047231,0.0,0.15398003179152064,16.676164241254668,2.9628026701028047,-0.0004461084069491004,0.0,0.0,0.0,0.0,-0.01171875,0.064453125,-0.9765625
1062,22.264888110056955,0.1901601154843915,0.0,0.15536797416475612,16.676936395327193,3.041610094545272,-0.0004461084069491004,0.0,0.0,0.0,0.0,-0.01953125,0.060546875,-0.9765625
1065,22.179107903216558,0.20351123696580897,0.0,0.15740265298088674,16.6765930121631,3.2712940490222917,-0.00028494889561710683,0.0,0.0,0.0,0.0,-0.017578125,0.0703125,-0.978515625
1069,22.179107903216558,0.21403760371863184,0.0,0.1596744991230545,16.67582734908283,3.4324599040880686,-0.00018124924146842568,0.0,0.0,0.0,0.0,0.001953125,0.068359375,-0.96484375
1072,22.11230585767159,0.21517367743389826,0.0,0.16144918939496944,16.675811445218653,3.4384500150100683,-0.00018124924146842568,0.0,0.0,0.0,0.0,-0.015625,0.052734375,-0.986328125
1077,22.04654769531933,0.21757361297821226,0.12679076483741125,0.16394135977126226,16.676008000420207,3.5350152883959685,0.00028544173877200445,150.0,0.004482072921276668,0.0,6.2366201831401575,-0.017578125,0.05859375,-0.97265625
1081,21.20254160380497,0.22709529646058815,2.2939238944424516,0.16674379482955806,16.675740058916965,3.6777672060299014,0.0004239435043605303,1900.0,0.08436518072108846,0.0,5.765058095314528,0.001953125,0.048828125,-0.970703125
1088,21.750977772867483,0.2369758971111276,4.788041409666054,0.17159552520243607,16.675822641771028,3.8494874324706463,0.0006437217131359588,2734.0,0.1843150523265851,0.0,5.650356873332473,-0.01171875,0.064453125,-0.982421875
1092,21.84667589857132,0.2448131395126995,5.117822201618342,0.17436328816084254,16.675767336143554,3.954179173885592,0.0006437217131359588,3002.0,0.20236785965288556,0.0,5.52495851549984,-0.015625,0.087890625,-0.982421875
1096,22.629573836768788,0.2693610357139643,8.887836824880344,0.17834012519689885,16.674934487347706,4.344931210008006,0.0011589817081772574,3182.0,0.3861703960988107,58.59997054507121,5.208269761473874,-0.009765625,0.0390625,-0.986328125
1099,22.629573836768788,0.2753376276843137,13.55184661192438,0.1818200848217084,16.67477418054331,4.425467599885451,0.0016450676168896625,3481.0,0.5997325809968878,37.73277382921809,5.113487631759983,-0.03125,0.0625,-0.978515625
1103,25.73877004422069,0.2862866063910905,16.965444020795232,0.18556400521171545,16.674610362426733,4.595758227471809,0.0020704632185616734,3596.0,0.7796907894128212,33.011509682709395,5.600549195639463,-0.01953125,0.072265625,-0.99609375
1106,27.07170732024446,0.29123059355202585,17.642240417966594,0.1892501458641173,16.673735158784368,4.694346497683964,0.0020704632185616734,3820.0,0.8281878951737995,32.687880948276025,5.766874544433555,0.00390625,0.02734375,-0.96875
1110,27.07170732024446,0.3070416013436037,22.89937929060128,0.1941098359814488,16.67382041764876,4.952883232371857,0.002656167327661856,4078.0,1.1341795172014242,23.868979213311487,5.465848082850976,-0.0234375,0.072265625,-0.990234375
1115,32.67999644710163,0.3133224034928511,23.37298423630555,0.19954238599078644,16.673195377588925,5.066475238926509,0.002678002311243945,4223.0,1.184186458930617,27.597002313819228,6.450243000501843,-0.015625,0.0546875,-0.986328125
1122,34.660084082365586,0.3312324734608623,26.661074661589012,0.20779430206068286,16.67295295471382,5.346563431356773,0.003110879514096853,4376.0,1.4254512682632448,24.31516590854424,6.482684536966218,-0.021484375,0.0703125,-0.98046875
1125,35.985764065431816,0.3474465885179434,28.50680792394337,0.2131601256575978,16.672036721908572,5.637912994907526,0.0033540947172481816,4576.0,1.6071890283773311,22.39049883370855,6.382816495738076,0.009765625,0.048828125,-0.990234375
1129,35.985764065431816,0.3721008788543978,29.71977100019549,0.21925780559043967,16.67119358072116,6.054543814634786,0.003626728403390799,4738.0,1.7993965568159591,19.99879566798149,5.943596275321116,0.01171875,0.013671875,-0.984375
1132,38.29712765910493,0.3893928638484952,30.12038676651493,0.2257536054725707,16.67116009014775,6.3128269720785495,0.003626728403390799,5007.0,1.901447899890933,20.141034451326085,6.066557475516437,-0.0078125,0.078125,-0.984375
1136,41.68318218020195,0.39587756955062825,32.552074467945516,0.2317201601391348,16.670228011236667,6.434133189921474,0.00387528981487101,5161.0,2.094443827350037,19.901790459064713,6.478445650689223,0.001953125,0.04296875,-0.986328125
1141,44.92364301654006,0.41399089381091736,36.026045254378985,0.2404277839604133,16.66991000857738,6.755096626461295,0.004389479900241994,5294.0,2.4335941676259742,18.459792357393788,6.65033314853908,-0.013671875,-0.001953125,-0.95703125
1145,47.12734386632525,0.4352211016548446,37.00815582365993,0.2494726222549345,16.670052598673927,7.123419651565063,0.004580785336226353,5496.0,2.636246244624412,17.876685064008317,6.615831464593139,-0.009765625,0.021484375,-0.970703125
1152,49.56500955725964,0.4485483167757578,38.35741024678805,0.2623222068537252,16.669154711262536,7.350763350173238,0.00476557279906361,5650.0,2.8195624544964897,17.578972041642835,6.742838423181117,-0.017578125,0.060546875,-0.986328125
1156,51.922113851703294,0.4638006733013593,38.528997349129305,0.26979049365339475,16.66921279759459,7.59232771577212,0.00476557279906361,5862.0,2.9252477443470495,17.749646658831253,6.8387608906609145,0.0,0.044921875,-0.9765625
1160,51.922113851703294,0.5029118412993782,39.83420628673861,0.27909677819284995,16.668674114713852,8.24230140398728,0.00516426628434135,6071.0,3.283255344039046,15.814217418688164,6.299467989193594,-0.052734375,0.04296875,-0.98046875
