,Maximum,Minimum,Average
Thrust (gf),951.2297267275836,-2.1837423576385233,390.15358159820056
Current (A),29.779833415094398,0.1355687442926411,8.728690034572214
Motor Efficiency (%),81.83012473627534,0.0,63.2918490542201
Burst Current Cutoff (A),24.269023254488488,0.14390735424257198,6.401819600148194
Voltage (V),16.678342460328192,15.782257098871845,16.42955446845829
Electrical Power (W),469.82525634295865,2.1646057324209917,140.93579208529187
Torque (N·m),0.10379170195454517,-0.0004461084069491004,0.04174710331626585
Motor Electrical Speed (RPM),30826.0,0.0,16804.181853991595
Mechanical Power (W),335.05099087046193,0.0,104.86397347119156
Propeller Mech. Efficiency (gf/W),58.59997054507121,0.0,5.98290311077791
Overall Efficiency (gf/W),6.8387608906609145,0.0,3.5708778914585273
AccX (g),0.166015625,-0.646484375,-0.025519234793526784
AccY (g),0.517578125,-0.2109375,0.06929054580816701
AccZ (g),-0.88671875,-1.111328125,-0.982493296390822
