ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,152.21896180889277,0.19602766116196577,109.88342856178896,0.19441148743258982,16.57901491829411,3.115066401913259,-0.018841488299696733,1801.5054945054944,4.319767355261636,3.3994279213984124,2.13788876587796,-0.001717032967032967,0.023727249313186812,-0.9490470467032966
1004,-0.2442462019956233,0.18082045265171365,0.0,0.18440525693899534,16.59050050402076,2.8726881920106724,-0.00010339111591151704,0.0,0.0,0.0,0.0,0.0,0.0234375,-0.94921875
1008,155.75146954451404,0.18044667424897498,0.0,0.18458071786304409,16.577042799571974,2.868366796877376,-0.019327880110981067,0.0,0.0,0.0,0.0,0.0,0.018229166666666668,-0.9446614583333334
1013,155.65350769769387,0.18084843550680263,0.0,0.18444480951069783,16.57706295048215,2.8656528009089457,-0.019360206252240955,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,-0.9459635416666666
1017,155.63874947640377,0.18048019651225897,0.0,0.18428860248177661,16.576986385417438,2.8621694399164763,-0.019350029287842036,0.0,0.0,0.0,0.0,0.0,0.022135416666666668,-0.9479166666666666
1021,233.54610224553008,0.18051706562525688,0.0,0.18447890662359834,16.56969535383239,2.8535457672433284,-0.028996957798070273,0.0,0.0,0.0,0.0,0.0,0.0185546875,-0.9443359375
1024,-1.0413044380570702,0.18463177380459989,0.0,0.18431203913649585,16.670681155638114,2.9222373327000617,-0.00014584015253523002,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1025,468.2425455656248,0.21930637245325,0.0,0.18742474404030046,16.468627791029608,3.4795883350670227,-0.0578578973421897,0.0,0.0,0.0,0.0,-0.00390625,0.03125,-0.9609375
1026,-0.10865580976412484,0.189335782232914,0.0,0.1839693787443782,16.590005101350506,3.0101952479291456,-0.00021781153238793475,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1029,233.69235173917994,0.2214255279820545,0.0,0.18790798085881277,16.5691288266933,3.538770968317336,-0.029001868747362464,0.0,0.0,0.0,0.0,-0.00390625,0.0458984375,-0.9716796875
1032,468.2425455656248,0.20696015462199885,0.0,0.18875422334817316,16.469872180036074,3.3049572866836696,-0.0578578973421897,0.0,0.0,0.0,0.0,-0.009765625,0.048828125,-0.97265625
1033,2.4551747177536813,0.2133842917536392,0.0,0.1878916451212438,16.6697459013457,3.462853471145916,-0.0016428371426701366,0.0,0.0,0.0,0.0,-0.005859375,0.041015625,-0.970703125
1037,240.68076613334287,0.20839301083253942,0.0,0.18904298498273003,16.569715811328493,3.338647118401485,-0.02968416661904641,0.0,0.0,0.0,0.0,-0.0009765625,0.052734375,-0.9814453125
1040,468.2425455656248,0.20754420786781907,0.0,0.19016210486735494,16.46915823366039,3.2777647938241263,-0.0578578973421897,0.0,0.0,0.0,0.0,-0.001953125,0.046875,-0.974609375
1042,18.87753345362588,0.20707341293933001,0.0,0.1893786007067456,16.67020565642235,3.360627347496933,-0.0023757008732619364,0.0,0.0,0.0,0.0,-0.001953125,0.041015625,-0.970703125
1045,468.2425455656248,0.21179704532964336,0.0,0.19113914167996546,16.468761473371114,3.3566432635489254,-0.0578578973421897,0.0,0.0,0.0,0.0,-0.00390625,0.0390625,-0.974609375
1047,21.54862400899806,0.21247181578663332,0.0,0.19066836796845726,16.670066079809178,3.4312200060294167,-0.002394979321219616,0.0,0.0,0.0,0.0,-0.005859375,0.05859375,-0.982421875
1049,468.2425455656248,0.21684257134829346,0.0,0.1923072384039453,16.46939280315356,3.3998906306051606,-0.0578578973421897,0.0,0.0,0.0,0.0,-0.0078125,0.052734375,-0.986328125
1050,18.322317538541395,0.3622555723701345,0.0,0.20081287514750293,16.58602949783624,5.860222894698487,-0.0009605880399309887,0.0,0.0,0.0,0.0,-0.0078125,0.06640625,-0.962890625
1052,22.364316473598027,0.21595179512874546,0.0,0.19214880493438308,16.669824459030426,3.469028579748418,-0.0023785697598147928,0.0,0.0,0.0,0.0,-0.001953125,0.033203125,-0.970703125
1053,468.2425455656248,0.22300946091034352,0.8579656628803197,0.19370452871236885,16.469492318111467,3.4866303067079647,-0.0578578973421897,5.0,0.029914090823133118,0.0,0.0,0.001953125,0.03515625,-0.98046875
1054,26.385755736495646,0.3128107300946825,0.0,0.2031071849247385,16.58707407719529,5.037316833750577,-0.0015519382012775613,0.0,0.0,0.0,0.0,-0.017578125,0.0625,-0.98046875
1057,468.2425455656248,0.2319132286750699,0.8961954486948788,0.19541778971798726,16.46886606951385,3.6594751598956634,-0.0578578973421897,5.0,0.03279604982910457,0.0,0.0,-0.005859375,0.0546875,-0.984375
1059,21.811360911352892,0.2264809492577641,0.0,0.19429541868443048,16.669639463322348,3.6430526076153664,-0.002220235938187622,0.0,0.0,0.0,0.0,-0.013671875,0.060546875,-0.98046875
1061,24.63235187714614,0.2685127395972403,0.0,0.2056064557654184,16.588666464190766,4.26614123711922,-0.0020783811896098814,0.0,0.0,0.0,0.0,-0.0078125,0.05078125,-0.982421875
1062,468.2425455656248,0.23785440866925014,0.8859085250073968,0.19772943527130465,16.468427406124587,3.759366981506456,-0.0578578973421897,5.0,0.033304552575478936,0.0,0.0,-0.01171875,0.068359375,-0.9765625
1065,24.63235187714614,0.2504267418899254,0.0,0.20672505949443729,16.589549905077952,3.971997169405912,-0.002389489117958818,0.0,0.0,0.0,0.0,-0.013671875,0.05078125,-0.96875
1067,20.62673909384908,0.2348995550929177,0.0,0.19743375350006195,16.668686646423225,3.7364358306726047,-0.0021250139431371164,0.0,0.0,0.0,0.0,-0.009765625,0.05078125,-0.974609375
1069,22.22042573129955,0.2598067014364179,0.0,0.2092733706662596,16.588864372771884,4.142561170558233,-0.0025812327827411693,0.0,0.0,0.0,0.0,-0.01171875,0.0546875,-0.98046875
1071,20.62673909384908,0.2472680126993802,0.0,0.1997411563943985,16.668873462327088,3.9539688447090944,-0.0021661825837461604,0.0,0.0,0.0,0.0,-0.0078125,0.052734375,-0.98828125
1073,244.98081657276649,0.2531861895993868,0.3344048983394424,0.20674159958343635,16.528137327677367,4.02269175991804,-0.030145239949603685,2.0,0.012920389571015984,0.0,0.0,-0.01953125,0.056640625,-0.97265625
1075,21.3403592347405,0.26984340722969946,0.0,0.2029776685387144,16.66816979701823,4.312132332456416,-0.0026376922373344148,0.0,0.0,0.0,0.0,-0.015625,0.056640625,-0.978515625
