,Maximum,Minimum,Average
Thrust (gf),928.2603509993266,-1.0413044380570702,387.72642555983936
Current (A),30.22721573792944,0.18044667424897498,9.31562183997771
Motor Efficiency (%),424.0221916614917,0.0,86.68705032294743
Burst Current Cutoff (A),27.53441139729382,0.1839693787443782,6.864712056729088
Voltage (V),16.670681155638114,15.397239397149121,16.26214934449689
Electrical Power (W),467.6302146415406,2.8535457672433284,148.47833717409543
Torque (N·m),-0.00010339111591151704,-0.11021084516668354,-0.04711803451888755
Motor Electrical Speed (RPM),30136.0,0.0,17278.197876336817
Mechanical Power (W),343.94710398150465,0.0,102.4796566519233
Propeller Mech. Efficiency (gf/W),71.78710429046541,0.0,6.01645378725524
Overall Efficiency (gf/W),97.41719432713222,0.0,6.144172500420777
AccX (g),0.560546875,-0.494140625,-0.012108492454453463
AccY (g),0.55859375,-0.572265625,0.05843015190160022
AccZ (g),-0.765625,-1.1748046875,-0.9857733696603588
