ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,3.9061728624808887,0.007168813851981293,70.16207408797167,0.002088456064202424,16.49094126020888,0.28883034688568854,0.0017334118936362956,1987.4131147540984,0.35392833465623136,2.5620358667084493,2.3208675759661546,-0.0008773053278688525,0.020459784836065573,-0.9504418545081967
1003,-2.4247250328985235,0.0,0.0,0.0,16.526251880230376,0.18641845302554305,0.001807937207159844,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1004,0.02652392183051684,0.0,0.0,0.0,16.60133798710683,0.23322886323138103,0.0002537317997184499,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.9453125
1005,11.870246276003561,0.0,0.0,0.0,16.47710937707655,0.19956091239408466,0.00020180756148268476,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1006,-2.4247250328985235,0.0,0.0,0.0,16.526916599568946,0.19211706164894396,0.0018026531520357813,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1009,11.957253231488789,0.0,0.0,0.0,16.476524320587618,0.1859757372948776,0.00022354837849400283,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1010,-1.380106445221985,0.0,0.0,0.0,16.5641281571031,0.20604097890356005,0.0009971071532917874,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1011,4.1813863328244825,0.0,0.0,0.0,16.3464572537339,0.17895550494562146,0.004744467219789821,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1013,5.92243854848464,0.0,0.0,0.0,16.53902130592086,0.20469091223551175,0.0001764417427962981,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1014,-2.6625694014786943,0.0,0.0,0.0,16.527900549323512,0.1683902005204332,0.001870313819333568,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1015,3.5073646760402832,0.0,0.0,0.0,16.34622541701478,0.263291399692742,0.004795218172437678,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1016,12.021544384456352,0.0,0.0,0.0,16.476526751452695,0.1799224987910632,0.00033395798554161426,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1017,-0.26964220992640303,0.0,0.0,0.0,16.60194057641324,0.16387158251874742,9.42989179855883e-05,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1018,1.1948300283633246,0.0,0.0,0.0,16.436789235947913,0.20334428771878058,0.00333427564329428,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1020,6.012613216908922,0.0,0.0,0.0,16.53893952730956,0.172832503381605,0.00018806706846049477,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1023,-2.365346850208061,0.0,0.0,0.0,16.527275064665393,0.17580109631788773,0.001921533521158268,0.0,0.0,0.0,0.0,0.0,0.015625,-0.947265625
1024,6.0231242158801335,0.0,0.0,0.0,16.47505739287085,0.17136804019643503,0.0017505517009077877,0.0,0.0,0.0,0.0,0.0,0.016927083333333332,-0.9466145833333334
1027,-2.365346850208061,0.0,0.0,0.0,16.527555128578964,0.15685086868708265,0.0022057508741375217,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1028,3.1846052720947355,0.0,0.0,0.0,16.47438116911914,0.17492365538776933,0.0024344636600484035,0.0,0.0,0.0,0.0,0.0,0.015625,-0.9462890625
1030,-2.039073140902107,0.0,0.0,0.0,16.527760660339773,0.24271573746412425,0.002135103701764826,0.0,0.0,0.0,0.0,0.0,0.015625,-0.947265625
1031,6.037128107382198,0.0,0.0,0.0,16.539157682619834,0.16103117709185616,0.00020203621555857492,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1034,2.088652085896144,0.0,0.0,0.0,16.436855109401428,0.3411092597686105,0.0034289212621914826,0.0,0.0,0.0,0.0,0.0,0.0166015625,-0.947265625
1035,5.772923794022318,0.0,0.0,0.0,16.539166654006827,0.1497189402290205,0.00020287879588680945,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.947265625
1037,-1.7795022714396105,0.07638798799345085,0.0,0.0,16.525737468431558,1.4221920749419252,0.0021598520521209728,0.0,0.0,0.0,0.0,-0.0078125,0.033203125,-0.96484375
1038,5.774630313607504,0.07416314904614696,0.0,0.0,16.47325908836415,1.3499357769921938,0.001884417056889665,0.0,0.0,0.0,0.0,-0.008463541666666666,0.034505208333333336,-0.955078125
1041,2.0943776274202386,0.2099926652536932,0.048065324034445814,0.01447872305731587,16.431799122779054,3.4656424977430396,0.006092919037607343,2.5,0.0016377409361254109,1047.9689212649125,1.0821147504743316,0.0087890625,0.0322265625,-1.0078125
1042,5.578072550092948,0.1914862999140155,0.0007970139622587353,0.00930397462428092,16.535075244225414,3.21654467442353,0.0011681500492744183,0.0,3.348252466824417e-05,5325.074763873868,0.08488317873758225,-0.0087890625,0.0458984375,-0.9814453125
1045,2.0756779953603,0.18381328132979216,42.15642361132119,0.01961216492365757,16.432182499216047,2.9723483215548763,0.0064857131599186,1920.5,1.2541182444154795,2.9956573875134422,1.2416609995144459,-0.01171875,0.05078125,-0.98828125
1046,11.691590652929285,0.2621805221577549,0.0,0.01836045728975146,16.471137030078722,4.29464562971458,0.000180888612631494,0.0,0.0,0.0,0.0,0.001953125,0.07421875,-0.97265625
1047,-0.07033162333350751,0.210581683803766,14.565224792266688,0.025270105557034742,16.595674526754202,3.419230164892783,0.0021554114859173427,2206.0,0.4980185596816248,0.14122289614762426,0.0205694322820508,-0.0078125,0.046875,-0.990234375
1049,8.898531406204011,0.1759648744771625,81.19772027938963,0.024921396411278936,16.34158546195003,2.7859698979813725,0.007588475959628094,2847.0,2.262144044830912,3.933671432876922,3.194051526777662,-0.009765625,0.04296875,-0.986328125
1050,11.811789684282243,0.2272190993558265,16.65729075490797,0.025328145954865884,16.471272463896412,3.6635398584951337,0.0025438961905451174,2291.0,0.6102464861514784,19.35576845148808,3.2241466288111176,0.0,0.03515625,-0.984375
1052,6.934713927252908,0.1815755094572484,66.93686502720224,0.030837056526464512,16.48661897755346,2.8722767049198885,0.005369927169774417,3395.0,1.912599972545446,3.586362699331822,2.414818392281656,-0.0078125,0.054036458333333336,-0.986328125
1054,11.811789684282243,0.2068133051789469,28.855809477997,0.030871861699113063,16.471301058899893,3.2952418494790137,0.002822882758358294,3217.0,0.9508687099248888,12.422103662676294,3.5844985660611584,-0.0078125,0.04296875,-0.984375
1056,8.693705610740608,0.1848653352915608,71.97745820152507,0.03617914067903674,16.48644347157878,2.9206313924822758,0.005304521256622889,3844.0,2.1064957447907253,4.474590012879109,2.955654600081239,-0.026041666666666668,0.06575520833333333,-0.98046875
1059,14.548864537550452,0.20735609826419266,71.28006286943031,0.040890422190401614,16.444536857535056,3.2763284413768345,0.005350407020452724,4073.3333333333335,2.3206221747228444,7.986965091650439,4.419238786020686,-0.013671875,0.052083333333333336,-0.9798177083333334
1060,9.965115791322713,0.20290570638053254,33.79982690721495,0.044403761870624364,16.596461058331784,3.2301427097255586,0.002539794372136464,4105.0,1.0917826447432617,9.127380655209132,3.0850388626233087,-0.001953125,0.048828125,-0.986328125
1063,14.547195602355796,0.2204994575781834,64.0380197455034,0.04827781279010258,16.482064900355986,3.490075410425699,0.004724991658318259,4472.5,2.2287931367311566,7.60878334305421,4.177062679467617,-0.0126953125,0.05322265625,-0.97607421875
1066,23.243612571761854,0.2338624824423142,41.863766830920376,0.053085161337727116,16.470105923152648,3.656187229718373,0.00315960155985928,4626.0,1.5306176967511864,15.185772790356207,6.3573365124280725,-0.0078125,0.04296875,-0.98828125
1067,14.710015449222654,0.2275699884918088,78.1571203540807,0.05510825695095267,16.485896046070238,3.6167378301999142,0.005487484368555821,4835.666666666667,2.795117661994474,6.074038270172374,4.074126031389652,-0.026041666666666668,0.061848958333333336,-0.9791666666666666
1070,22.478106021552907,0.24002792578345455,80.17494496263303,0.06068794606376197,16.443429288091558,3.810763022308904,0.005686631831791525,5101.333333333333,3.0473844126033742,8.780130418327756,5.884725188062526,-0.011067708333333334,0.060546875,-0.9869791666666666
1071,17.354755317079707,0.2469725247142584,39.959281909912775,0.06445131627839941,16.59521352327406,3.962259756414881,0.0029804966700603037,5073.0,1.5832905460688451,10.961194305220763,4.38001453311647,-0.021484375,0.0625,-0.984375
1074,19.94025060227975,0.25211766095377236,75.92429262274591,0.06849176870879829,16.484756582646728,4.052953341601515,0.005614304223424404,5205.0,3.063334018936652,7.177285870517834,4.926946993656158,-0.017578125,0.045572916666666664,-0.978515625
1076,31.095954623967053,0.2533662041552152,48.08403063208167,0.07153697902668732,16.469946769381295,4.014069263807091,0.003455138008142897,5334.0,1.9301262944019768,16.110839334273567,7.746740920577565,-0.001953125,0.05078125,-0.984375
