,Maximum,Minimum,Average
Thrust (gf),833.7962085023372,-2.6625694014786943,319.60563453130266
Current (A),23.54261289715681,0.0,6.985541321006129
Motor Efficiency (%),105.42299948924808,0.0,67.02518828229599
Burst Current Cutoff (A),18.88030259463157,0.0,5.299027448349823
Voltage (V),16.60194057641324,15.677285912115572,16.263495296278727
Electrical Power (W),369.45523297256966,0.1497189402290205,112.13193880530964
Torque (N·m),0.0897928919665407,9.42989179855883e-05,0.03560973111911333
Motor Electrical Speed (RPM),30455.0,0.0,16234.617308534174
Mechanical Power (W),286.37286428335693,0.0,74.38601479308106
Propeller Mech. Efficiency (gf/W),5325.074763873868,0.0,14.80261907018025
Overall Efficiency (gf/W),7.8301716728775235,0.0,3.504312693730982
AccX (g),0.17578125,-0.25,-0.019410300639140492
AccY (g),0.37109375,-0.201171875,0.05859048810349536
AccZ (g),-0.853515625,-1.158203125,-0.9845760898475618
