,Maximum,Minimum,Average
Thrust (gf),845.4437598468726,-0.6267903788787065,352.97537680956935
Current (A),23.750703552591887,0.0,7.730630342495302
Motor Efficiency (%),81.07350155259171,0.0,71.44017218191725
Burst Current Cutoff (A),22.82721603180911,0.013290195673596458,7.79041428152436
Voltage (V),15.777827780791085,14.24115285928778,15.136792399221559
Electrical Power (W),345.1547952304349,0.18352325304646755,114.26032188897975
Torque (N·m),0.00046468516180840386,-0.09307483362785827,-0.039943193105348176
Motor Electrical Speed (RPM),27980.0,0.0,16298.999973097443
Mechanical Power (W),272.710334280259,0.0,88.73619949273584
Propeller Mech. Efficiency (gf/W),1294.8842560448497,0.0,7.766165472971487
Overall Efficiency (gf/W),28.215601336853965,0.0,4.181764241082979
AccX (g),0.099609375,-0.126953125,-0.017027530098390982
AccY (g),0.169921875,-0.025390625,0.07177383206374528
AccZ (g),-0.90625,-1.083984375,-0.9863166117931894
