,Maximum,Minimum,Average
Thrust (gf),840.5302277829917,-1.5638564606931662,332.51839652619134
Current (A),23.888757302439547,0.12667360152600793,7.363259145927655
Motor Efficiency (%),79.66707388374734,0.0047000698156227675,47.14853079175823
Burst Current Cutoff (A),21.093286447117112,0.12897038616793466,5.462469477907532
Voltage (V),16.717470948292707,15.513880211164887,16.288077432349215
Electrical Power (W),373.4213096498352,1.9680186031991598,117.82604503841587
Torque (N·m),0.0880152978396643,-0.0005039542858140493,0.035832708463465986
Motor Electrical Speed (RPM),30091.0,3.0,12948.851318471023
Mechanical Power (W),274.9765887418483,0.00016460256638679656,68.0941228474965
Propeller Mech. Efficiency (gf/W),29.420482365220717,0.8643404949889667,3.9049592882390587
Overall Efficiency (gf/W),4.483905236171214,0.011649195266393452,2.259830510559579
AccX (g),0.462890625,-0.44921875,-0.016887919007852317
AccY (g),0.65234375,-0.658203125,0.0640515859506998
AccZ (g),-0.326171875,-1.314453125,-0.9533441593448813
