ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,0.13720492067413992,0.14531064550890155,0.0914601844194858,0.14459978709770105,16.539312321908785,2.2731842825192663,2.876669291017502e-05,380.57142857142856,0.0033092528847804147,0.5277951811061025,0.010177228917022772,-0.0013163919413919415,0.023001087454212456,-0.9486249427655677
1003,0.7595292007438236,0.18605928669482047,,0.1863555717201725,16.366641271628627,2.921221768517761,1.8058798200202392e-05,,,,,,0.015625,-0.943359375
1004,0.03353035810043018,0.12799655033222132,,0.12835860081133588,16.582378404556533,1.98455925498044,1.1778749490223694e-06,,,,,,0.016276041666666668,-0.9420572916666666
1007,0.7595292007438236,0.18511294464640604,,0.18627598842939355,16.366509359701016,2.8890382417866274,-6.174048588461187e-05,,,,,,0.015625,-0.94140625
1008,-0.1825989121573901,0.12825354537470005,,0.1283552323863322,16.582220429541582,1.986638167720649,3.323218166007834e-05,,,,,,0.021484375,-0.947265625
1011,0.3372002893242108,0.1829125561972223,,0.1860750493569957,16.366342047368395,2.8492764758289297,-0.00018749244232100094,,,,,,0.01953125,-0.943359375
1012,-1.1540441866975455,0.13127638868015165,,0.1283631752355454,16.623529569772106,2.0407895454455782,7.584241921502083e-05,,,,,,0.01953125,-0.9462890625
1014,1.8627888650024829,0.12586351968936946,,0.1285480242793347,16.499060269724993,1.9448054056212272,-7.346053953567938e-05,,,,,,0.02734375,-0.951171875
1015,-0.6639451126289453,0.15756942091800658,,0.15728932853103367,16.51714084200357,2.4534433134111477,-1.8368621061695708e-05,,,,,,0.0224609375,-0.9482421875
1016,-1.1937661096160672,0.13095199861102436,,0.12834656217413876,16.580034690505013,1.9990645310149016,-1.285435635909917e-05,,,,,,0.015625,-0.94140625
1017,1.8627888650024829,0.12369317270472475,,0.12830361243441785,16.499018925889825,1.9325810581265,-5.357049837261286e-06,,,,,,0.021484375,-0.947265625
1019,-1.1167574544104648,0.1562780530128405,,0.148222360243182,16.538091613333247,2.4524035650545617,1.6902948925499005e-05,,,,,-0.0026041666666666665,0.026041666666666668,-0.951171875
