,Maximum,Minimum,Average
Thrust (gf),844.3396298295957,-2.2394513363744823,320.87046122916274
Current (A),20.447344901861776,0.12369317270472475,6.266489972859834
Motor Efficiency (%),84.5268150223703,0.0013069638083892492,44.5701910804836
Burst Current Cutoff (A),18.371254284999917,0.12830361243441785,4.659579922240587
Voltage (V),16.66818055846848,15.675340553567336,16.315400750758563
Electrical Power (W),321.64090424153574,1.9325810581265,100.76229741939848
Torque (N·m),7.584241921502083e-05,-0.08101827504609815,-0.0317170009762143
Motor Electrical Speed (RPM),31941.0,2.0,13574.84585537255
Mechanical Power (W),245.4214910479013,4.3040798922413564e-05,57.65107297738019
Propeller Mech. Efficiency (gf/W),59.453301317007494,0.5277951811061025,6.683554076139226
Overall Efficiency (gf/W),4.688853411476349,0.010177228917022772,2.543521887915969
AccX (g),0.640625,-0.6015625,-0.016932965841432612
AccY (g),0.59375,-0.423828125,0.07031799530552674
AccZ (g),-0.2373046875,-1.140625,-0.8854148551532726
