,Maximum,Minimum,Average
Thrust (gf),808.5372680175152,-0.21499740722547206,323.5245495322335
Current (A),20.69355449997572,0.1257957269497445,6.708060859361096
Motor Efficiency (%),82.17912227805316,0.0008776382158306323,52.35707668459999
Burst Current Cutoff (A),18.748130012568733,0.1284095830281714,5.032985221623589
Voltage (V),16.7197446367452,15.793464791883896,16.380014128557992
Electrical Power (W),327.1404325828755,1.9498585758258784,108.29856313797988
Torque (N·m),0.07596179206002672,-0.0001374340932478302,0.03253256263631537
Motor Electrical Speed (RPM),32986.0,0.5,14700.211336765828
Mechanical Power (W),249.1338055389364,3.0357426004253582e-05,69.99804861803563
Propeller Mech. Efficiency (gf/W),53.59951256797873,0.493015099918548,4.110409219880892
Overall Efficiency (gf/W),4.531619707196478,0.014180427074729364,2.4638834638708857
AccX (g),2.015625,-1.673828125,0.00521027463996
AccY (g),2.888671875,-1.662109375,0.06311483980429293
AccZ (g),0.025390625,-1.20703125,-0.7913908849917902
