,Maximum,Minimum,Average
Thrust (gf),884.5423691214612,-0.7188411469659997,342.6749694400425
Current (A),24.799974886577626,0.17926537391364364,7.578185177913529
Motor Efficiency (%),94.05733328104414,0.006064724750588745,75.7339736799911
Burst Current Cutoff (A),22.442635808028065,0.18301200244912014,5.642332158611537
Voltage (V),16.45937127201357,15.522706186208898,16.203026263379734
Electrical Power (W),384.794745099047,2.8227660852345213,120.72030188086805
Torque (N·m),0.0005416296535626263,-0.09741593838796095,-0.041200069886137614
Motor Electrical Speed (RPM),29888.394736842107,2.0,18118.084163077598
Mechanical Power (W),304.9085727972603,0.00025131611222796533,108.43979878157809
Propeller Mech. Efficiency (gf/W),30.469833749763318,0.5124943244304618,4.93244637672817
Overall Efficiency (gf/W),4.578714395944424,0.0403800657121357,3.2474494224641943
AccX (g),0.376953125,-0.28125,-0.020461178529510394
AccY (g),0.861328125,-0.103515625,0.06939587293873889
AccZ (g),-0.630859375,-1.251953125,-0.9803786215433008
