,Maximum,Minimum,Average
Thrust (gf),642.8395492662924,-3.9107273905807225,284.88222848241355
Current (A),13.907523110521586,0.0,5.330681422688461
Motor Efficiency (%),97.21899365535154,0.0,74.2729990981463
Burst Current Cutoff (A),12.700616997196217,0.015134071345202595,4.150788594504846
Voltage (V),15.906045059067322,14.783361194688231,15.447403084030615
Electrical Power (W),208.07720489271415,0.13574767842181612,81.22053283819517
Torque (N·m),0.0020289006606656773,-0.05047702877165977,-0.02320482820716524
Motor Electrical Speed (RPM),37774.0,0.0,23644.604871561125
Mechanical Power (W),199.6344039246629,0.0,70.14547555526111
Propeller Mech. Efficiency (gf/W),13.032876877172308,0.0,5.066826289999255
Overall Efficiency (gf/W),4.681393903677009,0.0,3.5831635263716874
AccX (g),0.12890625,-0.244140625,-0.01793632729693192
AccY (g),0.275390625,-0.345703125,0.07079217079744682
AccZ (g),-0.884765625,-1.0625,-0.9857207701775421
