ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-0.23314231451624834,0.028024521391880733,10.045713073583173,0.031972379075309684,16.391250026940273,0.5829896723113833,0.00013262773285628606,2091.203791469194,0.11370977926788912,1.5564336333777775,0.2716346147463491,-0.0016013773696682465,0.07663470082938388,-0.9943627813981043
1004,0.28287435194241195,0.0,0.0,0.01989537481431058,16.350025594711518,0.2292850526111433,0.0007787792725821112,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1005,0.7960218206294557,0.0,0.0,0.015909947099705918,16.690599318570097,0.2110091241613836,0.00014956135211287023,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1007,0.28287435194241195,0.0,0.0,0.01971622372688571,16.34992002234622,0.20118630415245914,0.0008325660255976888,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1008,1.5104457348313765,0.0,0.0,0.015965148845594447,16.690586210549792,0.2251842651946077,0.00014956135211287023,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1010,-0.5954987810137327,0.0,0.0,0.018639002419149443,16.067380259074092,0.20645123014420247,-0.0007302432389992643,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1012,1.9218817093470668,0.0,0.0,0.015832232033642556,16.690869826321695,0.2068058763182819,0.0002776123529309638,0.0,0.0,0.0,0.0,0.0,0.07421875,-0.990234375
1013,-0.5679855176687091,0.0,0.0,0.01849840425173097,16.067311216103903,0.23297156791956966,-0.0007302432389992643,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1015,1.9218817093470668,0.0,0.0,0.015851855824042263,16.690369024478073,0.22858345414548495,0.00026056325534076405,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1017,-0.5679855176687091,0.016488913389949667,0.0,0.018563786979186186,16.067532054720388,0.239346357386585,-0.0005842443134887084,0.0,0.0,0.0,0.0,0.0,0.07421875,-0.9921875
1019,0.3271961861133721,0.0,0.0,0.015754835855387596,16.690515185206934,0.2168695154276622,0.00026056325534076405,0.0,0.0,0.0,0.0,0.0,0.076171875,-0.9921875
1020,-2.825271401047904,0.0,0.0,0.018325989655295798,16.067800982822565,0.21963196016892292,-0.0005953880493086772,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1023,-0.058784326931854015,0.015647022076396653,0.0,0.01581286713055867,16.689293912192213,0.21334459079469986,0.00022787086121094059,0.0,0.0,0.0,0.0,0.0,0.076171875,-0.9921875
1024,-1.8981656212007905,0.0,0.0,0.018200222420394298,16.067425511633484,0.2363174230255544,-0.0005953880493086772,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1027,-0.058784326931854015,0.0,0.0,0.015398024210414047,16.689583958500936,0.17859177635086526,0.0002198740048381058,0.0,0.0,0.0,0.0,0.0,0.080078125,-0.99609375
1028,-1.6205002579230854,0.0,0.0,0.018628029690107697,16.208430450668644,0.2449823521932038,-8.215362076880795e-06,0.0,0.0,0.0,0.0,0.0,0.076171875,-0.994140625
1030,-0.3453654790940553,0.0,0.0,0.015245836721613329,16.689484897353033,0.22305092752636746,0.0002952054758788372,0.0,0.0,0.0,0.0,0.0,0.080078125,-0.99609375
1031,-2.121532727586215,0.0,0.0,0.017788073046097714,16.066757141508166,0.17721014467285204,-0.0006868292149425826,0.0,0.0,0.0,0.0,0.0,0.078125,-0.99609375
1034,0.6703698312287111,0.0,0.0,0.014840677276594069,16.690465739217743,0.20229539834857907,0.0002952054758788372,0.0,0.0,0.0,0.0,0.0,0.076171875,-0.994140625
1035,-1.2808484841258128,0.0,0.0,0.018292458226122545,16.209135018407178,0.2361852450939393,2.1930809461462352e-05,0.0,0.0,0.0,0.0,0.0,0.076171875,-0.994140625
1038,-0.2813332064068552,0.2650608292503758,0.0,0.033937207347242995,16.368227074849,4.3256937925644054,-3.880365262885364e-06,0.0,0.0,0.0,0.0,-0.001953125,0.0546875,-0.9931640625
1040,-0.9025638097614356,0.04869410305451871,0.0,0.02124352177162736,16.34915238908695,0.7644822560599294,0.0010240644556842122,0.0,0.0,0.0,0.0,0.0,0.07421875,-0.9921875
1042,0.004104914462481846,0.5153257340520068,5.633634734094807,0.06443645940830439,16.355107061324404,8.353382818703992,0.0024448388275110267,860.0,0.3911664177201699,0.7849454904462028,0.08844192358697621,-0.001953125,0.0732421875,-0.96484375
1047,2.8232135616894856,0.3525118004737929,29.04647655248908,0.0648988457182646,16.671756908887787,5.7317889304533605,0.0043670308249910104,3641.0,1.6648827277223002,1.695743198412467,0.4925536505173057,-0.01171875,0.068359375,-0.98046875
