,Maximum,Minimum,Average
Thrust (gf),939.9316248735032,-2.825271401047904,385.37489282430755
Current (A),27.53098124223155,0.0,9.113073483779697
Motor Efficiency (%),76.75757446049258,0.0,65.01344707431909
Burst Current Cutoff (A),24.75106516410599,0.014840677276594069,6.85299444740356
Voltage (V),16.690869826321695,14.329957844362507,15.781718033473494
Electrical Power (W),406.8885477533106,0.17721014467285204,139.05267058697575
Torque (N·m),0.09401895352702776,-0.0007302432389992643,0.0404278657127855
Motor Electrical Speed (RPM),30693.0,0.0,18689.173087303607
Mechanical Power (W),302.19680071013784,0.0,101.47482402219246
Propeller Mech. Efficiency (gf/W),9.129958992418992,0.0,4.6745536570927415
Overall Efficiency (gf/W),4.4873809089734715,0.0,3.0766355689996248
AccX (g),0.267578125,-0.431640625,-0.017772328231358853
AccY (g),0.2265625,-0.375,0.07259913300071845
AccZ (g),-0.771484375,-1.171875,-0.9821924526058013
