ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,-0.17241212582237675,0.022693413554531916,0.0,0.028721441629549937,16.248905762705057,0.5034837136073487,-7.432691982032268e-05,2108.274774774775,0.0,0.0,0.0,-0.001636402027027027,0.06999577702702703,-0.9883604307432432
1003,0.4767680506381479,0.0,0.0,0.01525469723000874,16.49923588786577,0.1985747739628344,4.420187315732785e-05,0.0,0.0,0.0,0.0,0.0,0.060546875,-0.98046875
1005,0.7019220380319439,0.0,0.0,0.016431244505500132,16.30051197853501,0.21319252708144326,-0.00031947837753841914,0.0,0.0,0.0,0.0,0.0,0.06640625,-0.986328125
1007,0.4767680506381479,0.0,0.0,0.015116658949155532,16.4994634666066,0.2130123341201732,0.0001974464016679738,0.0,0.0,0.0,0.0,0.0,0.076171875,-0.994140625
1008,0.4853542943451084,0.0,0.0,0.016391403944832152,15.948956535690579,0.1926093551867684,-0.0001879836046423019,0.0,0.0,0.0,0.0,0.0,0.0703125,-0.98828125
1010,0.45908474027215646,0.007534529627924745,0.0,0.01573814203588047,16.399897598589675,0.20399775245166607,-2.9433700779336498e-05,0.0,0.0,0.0,0.0,0.0,0.0703125,-0.9892578125
1011,-0.3113376359017433,0.0,0.0,0.01594640066903611,15.949155054035401,0.19468204746958814,-0.00010256758516570298,0.0,0.0,0.0,0.0,0.0,0.072265625,-0.990234375
1014,0.029897777138101163,0.0,0.0,0.015256848812204429,16.400002001934432,0.18393976409027019,0.00012750259084841087,0.0,0.0,0.0,0.0,0.0,0.0712890625,-0.990234375
1018,-0.09208729818603532,0.0,0.0,0.01461224238183424,16.499660821083218,0.2397275702160309,0.0003905169940750837,0.0,0.0,0.0,0.0,0.0,0.078125,-0.998046875
1019,-0.6250273302504454,0.0,0.0,0.01548441713044074,15.948559542464794,0.1954652013028884,-0.00010913351895761356,0.0,0.0,0.0,0.0,0.0,0.076171875,-0.994140625
1022,0.6053531560892543,0.0,0.0,0.014733134816198703,16.49951832843387,0.27079370282670656,0.00034266501017452065,0.0,0.0,0.0,0.0,0.0,0.064453125,-0.984375
1026,-0.5639713482947591,0.005227455071374838,0.0,0.015103685683474746,16.249762215960683,0.20405013339371383,-5.238468954318846e-05,0.0,0.0,0.0,0.0,0.0,0.0703125,-0.990234375
1030,-0.589738974199825,0.005077730223287977,0.0,0.014914004651662755,16.25002691358264,0.2190836119253434,-7.510403507765616e-05,0.0,0.0,0.0,0.0,0.0,0.068359375,-0.98828125
1034,-0.70820549076025,0.0,0.0,0.014610404823857302,15.949768486667102,0.20022552431321036,-1.1720594499104575e-05,0.0,0.0,0.0,0.0,0.0,0.0625,-0.98046875
1036,-0.9261726849653013,0.05867888704836253,0.0,0.01885639941918261,16.298693455361438,0.9528078063251084,-0.000129322267714017,0.0,0.0,0.0,0.0,-0.001953125,0.0703125,-0.986328125
1038,-0.7883121090578027,0.2256796092637887,0.0,0.029845380828608662,15.9387602715539,3.512096689975654,9.481590921001504e-05,0.0,0.0,0.0,0.0,-0.0078125,0.076171875,-0.990234375
1040,-0.5472403512231838,0.28698295458055595,0.0,0.03958703156883507,16.385929112807943,4.614774349271733,0.0003364981680640232,0.0,0.0,0.0,0.0,-0.00390625,0.0673828125,-0.9853515625
1041,-0.7883121090578027,0.4999955709365895,0.0,0.054763410982935835,15.923959980185016,7.799667621009142,0.0011320448265131795,0.0,0.0,0.0,0.0,-0.017578125,0.083984375,-0.97265625
1043,-0.8685271787636104,0.4604321734664282,0.0,0.05746326293291067,16.275309912732787,7.353226307829868,0.00513794101491693,1578.0,0.0,0.0,0.0,-0.015625,0.078125,-0.98046875
1044,1.4986796754976888,0.42027464105251133,0.0,0.05914944685962995,16.474436449958574,6.855214933572539,0.00279204506125516,688.0,0.0,0.0,0.0,-0.013671875,0.068359375,-0.986328125
1046,-0.5796150338640861,0.3867870605057389,0.0,0.06569108640122594,16.278103672725276,6.149378741187541,0.00513794101491693,2815.0,0.0,0.0,0.0,-0.0078125,0.00390625,-0.97265625
1048,2.289672453900648,0.3621432043934649,0.0,0.06758554710834294,16.47574518193347,5.8688217271735725,0.002824153586922045,2632.0,0.0,0.0,0.0,-0.01171875,0.06640625,-0.98046875
1050,0.31545003008541367,0.364537204425987,0.0,0.07630453937424878,16.103773265765682,5.737856797246458,0.004934507684660158,3388.0,0.0,0.0,0.0,-0.013671875,0.0458984375,-0.986328125
1051,2.289672453900648,0.3415597217562537,0.0,0.07589978045254486,16.476154330488836,5.538094590427148,0.0038504706126201273,3452.0,0.0,0.0,0.0,-0.0234375,0.0859375,-0.978515625
1053,2.6594831156445227,0.33551012539034003,0.0,0.08110563737533978,16.280703548404038,5.3305806839570185,0.005048062605919828,4178.0,0.0,0.0,0.0,-0.041015625,0.07421875,-0.984375
1055,10.249674956386784,0.34992562797273186,0.0,0.08502905297214425,16.476081915035017,5.671465246901135,0.0038504706126201273,3918.0,0.0,0.0,0.0,-0.029296875,0.08984375,-0.970703125
1057,4.027521442191621,0.3480331098487436,0.0,0.09637742617036774,15.930203341404448,5.417260674981462,0.004358585912665768,4296.0,0.0,0.0,0.0,-0.015625,0.0390625,-0.982421875
1059,12.899215656495805,0.3686789980323592,0.0,0.09674270029666736,16.47502362696038,5.957590995369128,0.004690075887834495,4867.0,0.0,0.0,0.0,0.005859375,0.05078125,-0.98828125
1061,9.151029804453238,0.356011614231184,0.0,0.10550818641272457,15.929512192103672,5.556710375593419,0.0043107145103738675,4821.0,0.0,0.0,0.0,-0.017578125,0.09375,-0.990234375
1062,12.6181977608494,0.37822726070071505,0.0,0.10535206780242837,16.276674910281592,6.0635894410514055,0.004655872393345251,4929.0,0.0,0.0,0.0,-0.02734375,0.08203125,-0.990234375
1063,16.682948496831635,0.38220020738268856,0.0,0.1069304575807366,16.473410464436864,6.167621642694773,0.004701354387817408,5258.0,0.0,0.0,0.0,-0.015625,0.072265625,-0.994140625
1064,14.605768879375725,0.3826712224017332,0.0,0.11523424923452955,15.92916467683686,5.984619294132902,0.0043107145103738675,4949.0,0.0,0.0,0.0,-0.0234375,0.064453125,-0.98046875
1067,16.682948496831635,0.4034766685224266,0.0,0.11846437792266902,16.471748478607942,6.529409600521968,0.004846658710556066,5642.0,0.0,0.0,0.0,-0.02734375,0.064453125,-0.97265625
1068,17.995216152940372,0.40844726114141283,0.0,0.12482445509312035,16.100924486907612,6.464499829273446,0.004615904118121964,5535.0,0.0,0.0,0.0,0.0,0.05078125,-0.9833984375
1070,24.002689822247707,0.4277286510632157,0.0,0.1291225529271968,16.470563468783073,6.9210774563415125,0.004948096543591403,5725.0,0.0,0.0,0.0,-0.013671875,0.052734375,-0.98046875
1072,19.360602307907573,0.42911775303058053,0.0,0.1359672481378654,16.099734590471687,6.796683001863633,0.004652144599843592,5858.0,0.0,0.0,0.0,-0.0205078125,0.056640625,-0.9814453125
1074,27.268463564576066,0.46016000723908296,0.0,0.14333636123227686,16.469100823934802,7.474064556555848,0.004948096543591403,6140.0,0.0,0.0,0.0,-0.0234375,0.044921875,-0.986328125
1075,23.470900430605205,0.45666911294179435,0.0,0.14725409055879313,16.098071354167395,7.22569353507911,0.004916423540192486,6051.5,0.0,0.0,0.0,-0.0078125,0.0888671875,-0.984375
1078,30.02437570809877,0.4849522100121921,0.0,0.1564819232274792,16.46772943247597,7.8851646544898895,0.005285426548879054,6246.0,0.0,0.0,0.0,-0.00390625,0.048828125,-0.98046875
1079,24.24776640199767,0.4994758005671792,0.0,0.1602616952815864,16.096115732071883,7.911282598491405,0.005067082782746141,6206.0,0.0,0.0,0.0,-0.041015625,0.072265625,-0.9755859375
1082,28.21633038864701,0.5204708887374123,0.0,0.1731168930270065,16.09478620465383,8.238179349682142,0.0054803176325924985,6477.0,0.0,0.0,0.0,-0.001953125,0.06640625,-0.9775390625
1085,32.813738195268876,0.5425511935642116,0.0,0.1808076663245056,16.46305338343761,8.855545009131177,0.005600517791268336,6532.0,0.0,0.0,0.0,-0.021484375,0.0703125,-0.990234375
1086,31.641151248759755,0.5458447188121095,0.0,0.18654262999236487,16.092264572474967,8.65441868298916,0.005616160477283626,6700.0,0.0,0.0,0.0,-0.037109375,0.056640625,-0.9853515625
1090,33.27614998813146,0.583296301336741,0.0,0.20176399877992546,16.21306350219761,9.331838573006749,0.005964299780324651,6838.0,0.0,0.0,0.0,-0.028645833333333332,0.06380208333333333,-0.9817708333333334
1093,35.36611835553323,0.6281205386132778,0.0,0.21659190271144851,16.358932741388408,10.145481920418082,0.006411479460924238,7112.5,0.0,0.0,0.0,-0.048828125,0.083984375,-0.9921875
1095,35.547519349457545,0.6307555715360323,0.0,0.2241790715837351,15.912726441769236,9.887975250629758,0.006566979819223081,7161.0,0.0,0.0,0.0,0.0390625,-0.001953125,-0.978515625
1097,36.628139677963894,0.6694751410888482,0.0,0.2331837765033168,16.258408905590393,10.750780816850838,0.006254372565766215,7386.0,0.0,0.0,0.0,-0.029296875,0.03125,-0.982421875
1098,40.36796975150632,0.6783043345323385,0.0,0.23747549925503916,16.453434951024676,11.030711369664635,0.0069644643842013436,7439.0,0.0,0.0,0.0,-0.03125,0.072265625,-0.982421875
1101,38.68366273615929,0.6910618910376067,0.0,0.25216283906169884,16.082461422157678,10.971793736516311,0.00702088250096265,7452.5,0.0,0.0,0.0,-0.03125,0.076171875,-0.9814453125
1102,40.36796975150632,0.7210671759636529,0.0,0.2551462238494196,16.45025024728708,11.717052293976018,0.007299681148634078,7648.0,0.0,0.0,0.0,-0.02734375,0.0546875,-0.978515625
1104,39.2042777102086,0.7701531853865176,0.0,0.2716616564475165,16.250685108816672,12.385237809246874,0.007475291109913497,7872.0,0.0,0.0,0.0,-0.001953125,0.05859375,-0.982421875
1105,41.66830917476588,0.7030252110317774,0.0,0.2689668688215657,15.9081262098811,11.075767558016164,0.0071762587815815794,7602.0,0.0,0.0,0.0,0.00390625,0.0625,-0.99609375
1106,44.47324143109557,0.7929905388454319,0.0,0.2788636091641043,16.446220651159116,12.877040963425861,0.008021815279977133,7992.0,0.0,0.0,0.0,0.00390625,0.080078125,-0.974609375
1108,43.39466526837521,0.8178091448914632,0.0,0.2936730676142044,16.24882455818693,13.181475036421132,0.008015247674450528,8149.0,0.0,0.0,0.0,-0.078125,0.072265625,-0.984375
1109,43.610535839770144,0.773808572974296,0.0,0.28979937809513323,15.905016912265873,12.207805561404127,0.0071762587815815794,7887.0,0.0,0.0,0.0,-0.009765625,0.05859375,-0.9765625
1110,48.129923472272786,0.8376294355980421,0.0,0.3038848223179328,16.442808050661345,13.614074971371386,0.008338961612518656,8238.0,0.0,0.0,0.0,0.01953125,0.095703125,-0.974609375
1112,46.76523440227029,0.8643502300955943,0.0,0.3151193122839345,16.245397691332762,13.925904317648644,0.008370609789646911,8337.0,0.0,0.0,0.0,0.001953125,0.048828125,-0.974609375
1113,47.785323756755496,0.8390540605493986,0.0,0.31260980964324664,15.90182787945631,13.23533156792676,0.007812197582356499,8176.0,0.0,0.0,0.0,-0.056640625,0.09375,-0.984375
1116,53.03491775624876,0.8929579078432823,0.0,0.3346509388414011,16.439404545598098,14.518172910718613,0.008869819396088881,8454.0,0.0,0.0,0.0,-0.02734375,0.068359375,-0.984375
1117,47.785323756755496,0.8720914011865735,0.0,0.33246701476153584,15.899558119338744,13.73552820189126,0.00802676371703168,8340.0,0.0,0.0,0.0,-0.025390625,0.080078125,-0.990234375
1119,54.606032571114056,0.914814624402838,0.0,0.353490848520264,16.33943753170032,14.831814161756181,0.008760178570623669,8566.0,0.0,0.0,0.0,-0.009765625,0.0625,-0.978515625
1120,51.30255775811128,0.909082441437967,0.0,0.3532119835614308,15.896750470975475,14.319123198472045,0.008217861733614345,8511.0,0.0,0.0,0.0,0.0078125,0.064453125,-0.98046875
1122,56.596363506051254,0.9301585889353288,0.0,0.3722009165297022,16.240038035034814,14.985866054292195,0.008751035307227812,8671.0,0.0,0.0,0.0,-0.052734375,0.0859375,-0.984375
1123,58.26886855292836,0.941738283461085,0.0,0.3757696872199482,16.435328446520213,15.333055005063894,0.009278754871082128,8723.0,0.0,0.0,0.0,-0.013671875,0.056640625,-0.98046875
1124,54.984894155940225,0.9430678325423958,0.0,0.3760613637328917,15.895292737579204,14.85005859454473,0.008217861733614345,8701.0,0.0,0.0,0.0,-0.033203125,0.060546875,-0.9921875
