,Maximum,Minimum,Average
Thrust (gf),832.1210852905521,-0.9261726849653013,355.4457871354355
Current (A),28.922004219132308,0.0,9.87610312421927
Motor Efficiency (%),0.0,0.0,0.0
Burst Current Cutoff (A),26.047720071857007,0.014610404823857302,7.418536235202034
Voltage (V),16.499660821083218,14.124865602658682,15.550370381993222
Electrical Power (W),414.4870904107824,0.18393976409027019,148.1907550045091
Torque (N·m),0.09949005068591443,-0.00031947837753841914,0.04384679438255052
Motor Electrical Speed (RPM),29238.0,0.0,18053.404341971058
Mechanical Power (W),0.0,0.0,0.0
Propeller Mech. Efficiency (gf/W),0.0,0.0,0.0
Overall Efficiency (gf/W),0.0,0.0,0.0
AccX (g),0.99609375,-0.4755859375,-0.015317047839241168
AccY (g),0.8203125,-0.591796875,0.07282750585101061
AccZ (g),-0.4609375,-1.26171875,-0.984443473699885
